uf	pred	sf
inrationaLis	inrationaris	inrationalis
inkorporaLis	inkorporaris	inkorporalis
awernaLis	awernaris	awernalis
libraLis	libraris	libralis
tripedaLis	tripedaris	tripedalis
formaLis	formaris	formalis
armentaLis	armentaris	armentalis
krinaLis	krinaris	krinalis
triumuiraLis	triumuiraris	triumuiralis
dorsuaLis	dorsuaris	dorsualis
originaLis	originaris	originalis
nowerkaLis	nowerkaris	nowerkalis
latrokinaLis	latrokinaris	latrokinalis
litoraLis	litoraris	litoralis
terminaLis	terminaris	terminalis
wiraLis	wiraris	wiralis
artifikiaLis	artifikiaris	artifikialis
iliberaLis	iliberaris	iliberalis
dekemwiraLis	dekemwiraris	dekemwiralis
