UF	SF
kimuli	kimuli
nupuɹu	nupuɹu
begili	begili
tubuɹu	tubuɹu
begiɹu	begiɹu
nenuɹu	nenuɹu
gunuli	gunuli
kimuɹu	kimuɹu
tubuli	tubuli
gunuɹu	gunuɹu
detuɹu	detuɹu
detuli	detuli
negoɹu	negoɹu
negoli	negoli
nenuli	nenuli
nupuli	nupuli
dikuLili	dikuɹili
denitoli	denitoli
getoLiɹu	getoliɹu
nigoLili	nigoɹili
kegepoli	kegepoli
temoLuɹu	temoluɹu
mobibuli	mobibuli
nigoLiɹu	nigoliɹu
komiLeɹu	komileɹu
gotupeli	gotupeli
nobimiɹu	nobimiɹu
gupuLuli	gupuɹuli
niboLeli	niboɹeli
mepuLiɹu	mepuliɹu
kumibuɹu	kumibuɹu
tebiLuli	tebiɹuli
nogoLeɹu	nogoleɹu
tudoLoɹu	tudoloɹu
gototuli	gototuli
kukiLili	kukiɹili
dubudoɹu	dubudoɹu
diniLeli	diniɹeli
kediLoli	kediɹoli
bunoLiɹu	bunoliɹu
begetili	begetili
dugenuɹu	dugenuɹu
notuLoɹu	notuloɹu
bipiLeɹu	bipileɹu
motiLeli	motiɹeli
gopegili	gopegili
kugimuɹu	kugimuɹu
gobiLeli	gobiɹeli
dodeneli	dodeneli
nimoLoɹu	nimoloɹu
tukenuɹu	tukenuɹu
pumoLiɹu	pumoliɹu
nutoLeli	nutoɹeli
dinupuɹu	dinupuɹu
pipibeɹu	pipibeɹu
digiLuɹu	digiluɹu
pinenoɹu	pinenoɹu
niboLeɹu	niboleɹu
goduduli	goduduli
gigoLiɹu	gigoliɹu
mokomili	mokomili
kigepoli	kigepoli
pinenoli	pinenoli
mikekeli	mikekeli
tudukili	tudukili
gemoLili	gemoɹili
gototuɹu	gototuɹu
botopili	botopili
gidekoɹu	gidekoɹu
mokomiɹu	mokomiɹu
pokeLuli	pokeɹuli
tibukoɹu	tibukoɹu
topotoli	topotoli
dinupuli	dinupuli
dopupuli	dopupuli
gidepoli	gidepoli
nideLeɹu	nideleɹu
dibipeli	dibipeli
tugiLoɹu	tugiloɹu
nunupuɹu	nunupuɹu
monuneli	monuneli
butuLoli	butuɹoli
gimiLeɹu	gimileɹu
nebebuli	nebebuli
tudukiɹu	tudukiɹu
noduLuɹu	noduluɹu
diniLeɹu	dinileɹu
pigipoli	pigipoli
pepoLiɹu	pepoliɹu
gonodeɹu	gonodeɹu
gekuLoɹu	gekuloɹu
dekeLili	dekeɹili
mepeLeɹu	mepeleɹu
gopikuli	gopikuli
toboLeɹu	toboleɹu
pumoLeli	pumoɹeli
bipemiɹu	bipemiɹu
dupinuli	dupinuli
nebebuɹu	nebebuɹu
gidipeɹu	gidipeɹu
kodoLiɹu	kodoliɹu
notuLoli	notuɹoli
mukiLeɹu	mukileɹu
denitoɹu	denitoɹu
toduLeli	toduɹeli
gekuLoli	gekuɹoli
pipibeli	pipibeli
pumoLili	pumoɹili
pemiLeɹu	pemileɹu
bepoguli	bepoguli
nipuLeɹu	nipuleɹu
gopikuɹu	gopikuɹu
tegudeli	tegudeli
goditili	goditili
mituLuɹu	mituluɹu
getoLili	getoɹili
kumibuli	kumibuli
kenipoli	kenipoli
kepikoɹu	kepikoɹu
piniLuɹu	piniluɹu
tetudeli	tetudeli
nugiLiɹu	nugiliɹu
tuteLiɹu	tuteliɹu
mimoLuɹu	mimoluɹu
kenipoɹu	kenipoɹu
negeLiɹu	negeliɹu
gopegiɹu	gopegiɹu
dinoLeli	dinoɹeli
gimiLeli	gimiɹeli
bebuLiɹu	bebuliɹu
pumegoli	pumegoli
gigoLili	gigoɹili
tibukoli	tibukoli
ninedeɹu	ninedeɹu
gipedili	gipedili
nomoLuɹu	nomoluɹu
kugimuli	kugimuli
dibipeɹu	dibipeɹu
dekeLiɹu	dekeliɹu
putiLuɹu	putiluɹu
kidiLoɹu	kidiloɹu
bipiLeli	bipiɹeli
kigepoɹu	kigepoɹu
digemili	digemili
mepeLeli	mepeɹeli
kebegeɹu	kebegeɹu
pedeLoɹu	pedeloɹu
digemiɹu	digemiɹu
detoLeɹu	detoleɹu
mimiLuɹu	mimiluɹu
dupinuɹu	dupinuɹu
tudugiɹu	tudugiɹu
mudoLeɹu	mudoleɹu
tipeLeɹu	tipeleɹu
digiLuli	digiɹuli
kugopeɹu	kugopeɹu
bunoLeli	bunoɹeli
notodeɹu	notodeɹu
bopoLoɹu	bopoloɹu
pekoLoɹu	pekoloɹu
buboLuli	buboɹuli
toduLeɹu	toduleɹu
nigunoɹu	nigunoɹu
numiLuli	numiɹuli
tugiLoli	tugiɹoli
diniLiɹu	diniliɹu
gunetoɹu	gunetoɹu
topotoɹu	topotoɹu
tutumeɹu	tutumeɹu
giguLili	giguɹili
binuguɹu	binuguɹu
pumoLeɹu	pumoleɹu
mukiLeli	mukiɹeli
mopudiɹu	mopudiɹu
kodugili	kodugili
nemiLili	nemiɹili
tebegoli	tebegoli
tutumeli	tutumeli
duteLili	duteɹili
goditiɹu	goditiɹu
mekipuli	mekipuli
nigiLiɹu	nigiliɹu
tomiLeli	tomiɹeli
gimuLuli	gimuɹuli
gokomuɹu	gokomuɹu
kubokuli	kubokuli
doduboli	doduboli
bediboɹu	bediboɹu
pigipoɹu	pigipoɹu
temedili	temedili
nomoLuli	nomoɹuli
bunoLeɹu	bunoleɹu
tipeLeli	tipeɹeli
notodeli	notodeli
beduLeli	beduɹeli
bipiLiɹu	bipiliɹu
binuguli	binuguli
nutoLeɹu	nutoleɹu
bepeLoli	bepeɹoli
nemiLiɹu	nemiliɹu
butiLoli	butiɹoli
dikuLiɹu	dikuliɹu
kugopeli	kugopeli
beduLeɹu	beduleɹu
mobugili	mobugili
mimiLuli	mimiɹuli
gidipeli	gidipeli
gopeLeli	gopeɹeli
miguneli	miguneli
kidiLoli	kidiɹoli
digimuɹu	digimuɹu
kukiLiɹu	kukiliɹu
gunetoli	gunetoli
gubogeli	gubogeli
mukobeɹu	mukobeɹu
gidekoli	gidekoli
mepukeɹu	mepukeɹu
gebimeli	gebimeli
nipuLeli	nipuɹeli
doteLoɹu	doteloɹu
bukikuɹu	bukikuɹu
tuniLiɹu	tuniliɹu
metutoɹu	metutoɹu
kutomoli	kutomoli
gotupeɹu	gotupeɹu
benomoɹu	benomoɹu
tuniLili	tuniɹili
ponoLuli	ponoɹuli
nitetiɹu	nitetiɹu
kodoLili	kodoɹili
tegudeɹu	tegudeɹu
kediLoɹu	kediloɹu
gebimeɹu	gebimeɹu
begetiɹu	begetiɹu
butiLoɹu	butiloɹu
mumekoli	mumekoli
dopomoli	dopomoli
bedogili	bedogili
bipiduli	bipiduli
kubokuɹu	kubokuɹu
temediɹu	temediɹu
tebiLuɹu	tebiluɹu
nigunoli	nigunoli
boduLeli	boduɹeli
nunupuli	nunupuli
kebegeli	kebegeli
mituLuli	mituɹuli
tudoLoli	tudoɹoli
nugiLili	nugiɹili
gipediɹu	gipediɹu
tukenuli	tukenuli
miguneɹu	miguneɹu
dodumoɹu	dodumoɹu
gidepoɹu	gidepoɹu
gopeLeɹu	gopeleɹu
putoLuli	putoɹuli
gubogeɹu	gubogeɹu
gemoLiɹu	gemoliɹu
bipemili	bipemili
betogeli	betogeli
nubiLoɹu	nubiloɹu
pekoLoli	pekoɹoli
bebuLili	bebuɹili
dopomoɹu	dopomoɹu
noduLuli	noduɹuli
metutoli	metutoli
poneLeli	poneɹeli
tenuLuɹu	tenuluɹu
bepeLili	bepeɹili
putoLuɹu	putoluɹu
tebegoɹu	tebegoɹu
munegoɹu	munegoɹu
poneLeɹu	poneleɹu
kepikoli	kepikoli
tuteLili	tuteɹili
mudoLeli	mudoɹeli
gikinoli	gikinoli
nobimili	nobimili
dumiLili	dumiɹili
bopoLoli	bopoɹoli
pepoLili	pepoɹili
bepeLoɹu	bepeloɹu
nimoLoli	nimoɹoli
doteLoli	doteɹoli
putiLuli	putiɹuli
dobekili	dobekili
tomiLeɹu	tomileɹu
dobekiɹu	dobekiɹu
motiLeɹu	motileɹu
ninedeli	ninedeli
gitiLuli	gitiɹuli
tenuLuli	tenuɹuli
tetudeɹu	tetudeɹu
gitiLuɹu	gitiluɹu
tebiLoɹu	tebiloɹu
gobiLeɹu	gobileɹu
dopupuɹu	dopupuɹu
pokeLuɹu	pokeluɹu
bukikuli	bukikuli
kipuLoli	kipuɹoli
dubudoli	dubudoli
mebumeli	mebumeli
nubiLoli	nubiɹoli
pepoLoɹu	pepoloɹu
ninogeli	ninogeli
bikebeɹu	bikebeɹu
negeLili	negeɹili
dikubuli	dikubuli
pemiLeli	pemiɹeli
doduboɹu	doduboɹu
bipiLili	bipiɹili
nimipuɹu	nimipuɹu
gubuLili	gubuɹili
mepuLili	mepuɹili
dinoLeɹu	dinoleɹu
diniLili	diniɹili
mepukeli	mepukeli
tudugili	tudugili
pumegoɹu	pumegoɹu
mekipuɹu	mekipuɹu
pepoLoli	pepoɹoli
tumetiɹu	tumetiɹu
gupuLuɹu	gupuluɹu
bikebeli	bikebeli
mumekoɹu	mumekoɹu
