uf	pred	sf
kɑlɑnviljelUlɑitoksissA	kɑlɑnviljelulɑitoksissɑ	kɑlɑnviljelylɑitoksissɑ
oikeɑoppisUUden	oikeɑoppisyyden	oikeɑoppisuuden
hɑmpɑissAAn	hɑmpɑissææn	hɑmpɑissɑɑn
kɑɑmeUdessAAn	kɑɑmeudessææn	kɑɑmeudessɑɑn
næhdessA	næhdessɑ	næhdessæ
viriA	viriɑ	viriæ
edellytettUjen	edellytettujen	edellytettyjen
kɑksinɑpɑisUUs	kɑksinɑpɑisyys	kɑksinɑpɑisuus
lɑttiɑlæmmitUksestA	lɑttiɑlæmmituksestɑ	lɑttiɑlæmmityksestæ
myøtæjæisistA	myøtæjæisistɑ	myøtæjæisistæ
pistetUt	pistetut	pistetyt
hyvitUksinA	hyvituksinɑ	hyvityksinæ
jælkijættøiseltA	jælkijættøiseltɑ	jælkijættøiseltæ
kylmenevAssA	kylmenevɑssɑ	kylmenevæssæ
mææræɑikɑistileillA	mææræɑikɑistileillɑ	mææræɑikɑistileillæ
mææræisinA	mææræisinɑ	mææræisinæ
niemekkeellA	niemekkeellɑ	niemekkeellæ
pidettUkAAn	pidettukɑɑn	pidettykææn
sokeripitoisUUteen	sokeripitoisyyteen	sokeripitoisuuteen
vetæjApulɑ	vetæjɑpulɑ	vetæjæpulɑ
viljelUtilojA	viljelutilojɑ	viljelytilojɑ
væliinputoɑjAryhmæ	væliinputoɑjæryhmæ	væliinputoɑjɑryhmæ
ɑseteltAessA	ɑseteltæessɑ	ɑseteltɑessɑ
ɑvɑintermejA	ɑvɑintermejɑ	ɑvɑintermejæ
edustUskysymyksessA	edustuskysymyksessɑ	edustuskysymyksessæ
hɑlpɑmyyntiA	hɑlpɑmyyntiɑ	hɑlpɑmyyntiæ
heinAkɑnkɑɑntie	heinɑkɑnkɑɑntie	heinækɑnkɑɑntie
kɑnsɑnryhmissA	kɑnsɑnryhmissɑ	kɑnsɑnryhmissæ
lisævesiA	lisævesiɑ	lisævesiæ
mosɑiikkitøitA	mosɑiikkitøitɑ	mosɑiikkitøitæ
perinteitAkAAn	perinteitɑkɑɑn	perinteitækææn
pærjænneitA	pærjænneitɑ	pærjænneitæ
tuomioistuinkæsittelUjA	tuomioistuinkæsittelujɑ	tuomioistuinkæsittelyjæ
tærkeæmmiltA	tærkeæmmiltɑ	tærkeæmmiltæ
