uf	pred	sf
dɑktiloDA	dɑktilotɑ	dɑktilodɑ
hɑlHn	hɑlɯn	hɑlin
hɑvɑDA	hɑvɑtɑ	hɑvɑdɑ
ɑjHHn	ɑjuun	ɑjɯɯn
sɑjfɑDA	sɑjfɑtɑ	sɑjfɑdɑ
kɑdɑrDA	kɑdɑrtɑ	kɑdɑrdɑ
ɑrkɑDAn	ɑrkɑtɑn	ɑrkɑdɑn
ʧorbɑDAn	ʧorbɑtɑn	ʧorbɑdɑn
sokɑklArDAn	sokɑklɑrtɑn	sokɑklɑrdɑn
bɑnjoDA	bɑnjotɑ	bɑnjodɑ
sofrɑDA	sofrɑtɑ	sofrɑdɑ
duvɑrDA	duvɑrtɑ	duvɑrdɑ
sɑklAnAʤAk	sɑkleneʤek	sɑklɑnɑʤɑk
hɑvH	hɑvi	hɑvɯ
hɑlH	hɑlɯ	hɑli
ɑrkɑDAki	ɑrkɑdeki	ɑrkɑdɑki
ortɑlArDA	ortɑlɑrtɑ	ortɑlɑrdɑ
vɑpurDAn	vɑpurtɑn	vɑpurdɑn
bɑjlArDA	bɑjlɑrtɑ	bɑjlɑrdɑ
vɑpurDA	vɑpurtɑ	vɑpurdɑ
konuʃmADAn	konuʃmɑtɑn	konuʃmɑdɑn
bɑbɑHnki	bɑbɑinki	bɑbɑɯnki
ortɑDAn	ortɑtɑn	ortɑdɑn
hɑlɑDA	hɑlɑtɑ	hɑlɑdɑ
ɑmʤɑnHzA	ɑmʤɑnize	ɑmʤɑnɯzɑ
mɑmɑDA	mɑmɑtɑ	mɑmɑdɑ
hɑvɑDAn	hɑvɑtɑn	hɑvɑdɑn
burɑDAkilAr	burɑdekiler	burɑdɑkiler
burɑlArDA	burɑlɑrtɑ	burɑlɑrdɑ
bɯrɑkmADAn	bɯrɑkmɑtɑn	bɯrɑkmɑdɑn
ʧɑrpmɑDAn	ʧɑrpmɑtɑn	ʧɑrpmɑdɑn
mɑmɑDAn	mɑmɑtɑn	mɑmɑdɑn
