uf	pred	sf
gynH	gyni	gyny
ɑdH	ɑdi	ɑdɯ
zɑmɑnDA	zɑmɑnte	zɑmɑndɑ
oHn	oin	oun
ɑnDA	ɑnte	ɑndɑ
jolH	joli	jolu
ʧɯkAn	ʧɯken	ʧɯkɑn
ɑlɑnDA	ɑlɑnte	ɑlɑndɑ
jerDA	jerdɑ	jerde
yʧnʤH	yʧnʤi	yʧnʤy
sistemlArH	sistemlɑrɯ	sistemleri
gyʧlH	gyʧli	gyʧly
jɯlDA	jɯlde	jɯldɑ
gørmA	gørmɑ	gørme
jɑnDAn	jɑnden	jɑndɑn
kullAnHʤH	kullɑnɯʤi	kullɑnɯʤɯ
mydyrH	mydyri	mydyry
tipH	tipɯ	tipi
deɰerlendirmA	deɰerlendirmɑ	deɰerlendirme
sɑɰlɑAn	sɑɰlɑen	sɑɰlɑɑn
iʃlemlArH	iʃlemlɑrɯ	iʃlemleri
toplumsAl	toplumsel	toplumsɑl
rɑporH	rɑpori	rɑporu
ortɑDAn	ortɑden	ortɑdɑn
sorumlH	sorumli	sorumlu
sorunH	soruni	sorunu
bɑʃlɑAn	bɑʃlɑen	bɑʃlɑɑn
kiʃisAl	kiʃisɑl	kiʃisel
geliʃmA	geliʃmɑ	geliʃme
kɑnunHn	kɑnunin	kɑnunun
yrynlAr	yrynlɑr	yrynler
hɑlkHn	hɑlkin	hɑlkɯn
bɑʃDA	bɑʃte	bɑʃtɑ
toplumHn	toplumin	toplumun
ermAnH	ermɑnɯ	ermeni
jøntemlArH	jøntemlɑrɯ	jøntemleri
dyzejDA	dyzejdɑ	dyzejde
iʃA	iʃɑ	iʃe
enstityH	enstityi	enstityy
kɑnunH	kɑnuni	kɑnunu
jerlArDA	jerlerdɑ	jerlerde
jɯllAr	jɯller	jɯllɑr
ylkelArDA	ylkelerdɑ	ylkelerde
jɑpArAk	jɑperek	jɑpɑrɑk
derslAr	derslɑr	dersler
kurumsAl	kurumsel	kurumsɑl
hepH	hepɯ	hepi
iʃlArH	iʃlɑrɯ	iʃleri
tɑʃɯAn	tɑʃɯen	tɑʃɯɑn
hykymlArH	hykymlɑrɯ	hykymleri
tyrH	tyri	tyry
burɑDAn	burɑden	burɑdɑn
gynlArDA	gynlɑrdɑ	gynlerde
iʃlemlAr	iʃlemlɑr	iʃlemler
geliʃmAlAr	geliʃmɑlɑr	geliʃmeler
olmADAn	olmɑden	olmɑdɑn
ønmHzDAki	ønmizdeki	ønmyzdeki
hɑjɑtA	hɑjɑte	hɑjɑtɑ
ɑmɑʧlH	ɑmɑʧli	ɑmɑʧlɯ
deɰiʃiklHklAr	deɰiʃikliklɑr	deɰiʃiklikler
hɑllArDA	hɑllɑrdɑ	hɑllerde
detɑjlH	detɑjli	detɑjlɯ
ujɑrHnʤA	ujɑrɯnʤe	ujɑrɯnʤɑ
sɯnɯrlH	sɯnɯrli	sɯnɯrlɯ
kontrolH	kontroli	kontroly
iʃlAr	iʃlɑr	iʃler
ujumlH	ujumli	ujumlu
tɑrihDAn	tɑrihden	tɑrihten
sektørH	sektøri	sektøry
dɑnɯʃmɑnlHk	dɑnɯʃmɑnlik	dɑnɯʃmɑnlɯk
bilimlArH	bilimlɑrɯ	bilimleri
hɑlkH	hɑlki	hɑlkɯ
ɑnlɑmlH	ɑnlɑmli	ɑnlɑmlɯ
jɑpDHklArH	jɑpdiklɑrɯ	jɑptɯklɑrɯ
bojH	boji	boju
tekniklArH	tekniklɑrɯ	teknikleri
tɑrɑfDAn	tɑrɑfden	tɑrɑftɑn
uzmɑnlHk	uzmɑnlik	uzmɑnlɯk
hɑlkA	hɑlke	hɑlkɑ
koʃullArH	koʃulleri	koʃullɑrɯ
ʧɑlɯʃmAlArnA	ʧɑlɯʃmɑlɑrne	ʧɑlɯʃmɑlɑrnɑ
dinH	dinɯ	dini
ʃɑrtlArH	ʃɑrtleri	ʃɑrtlɑrɯ
sɯnɯrlArH	sɯnɯrleri	sɯnɯrlɑrɯ
tɑrihlH	tɑrihlɯ	tɑrihli
jɑrɑrlH	jɑrɑrli	jɑrɑrlɯ
øɰrenmA	øɰrenmɑ	øɰrenme
jɑkɯnDAn	jɑkɯnden	jɑkɯndɑn
bilimlAr	bilimlɑr	bilimler
kɑjɯtlH	kɑjɯtli	kɑjɯtlɯ
uzɑkDAn	uzɑkden	uzɑktɑn
orɑnDA	orɑnte	orɑndɑ
gynHn	gynin	gynyn
øzellHklAr	øzelliklɑr	øzellikler
yrynH	yryni	yryny
ʧøzymlAr	ʧøzymlɑr	ʧøzymler
hɯzH	hɯzi	hɯzɯ
dyʃAn	dyʃɑn	dyʃen
ɑʧɯkʧA	ɑʧɯkʧe	ɑʧɯkʧɑ
inʤelAnmAH	inʤelenmɑɯ	inʤelenmei
sɯnɑvH	sɯnɑvi	sɯnɑvɯ
kɑrɑrlAr	kɑrɑrler	kɑrɑrlɑr
tɑrihDA	tɑrihde	tɑrihte
olɑjlAr	olɑjler	olɑjlɑr
yrynlArHn	yrynlɑrɯn	yrynlerin
tesislArH	tesislɑrɯ	tesisleri
kuruluʃH	kuruluʃɯ	kuruluʃu
ekrɑnDA	ekrɑnte	ekrɑndɑ
bɑkHʃ	bɑkiʃ	bɑkɯʃ
vermAA	vermɑɑ	vermee
ystH	ysti	ysty
rolH	roli	roly
dynjɑDAki	dynjɑteki	dynjɑdɑki
yrynHn	yrynin	yrynyn
sektørDA	sektørdɑ	sektørde
kɑrɑrlArH	kɑrɑrleri	kɑrɑrlɑrɯ
olmADAn	olmɑden	olmɑtɑn
ɑjɑkDA	ɑjɑkte	ɑjɑktɑ
etDHklArH	etdiklɑrɯ	ettikleri
fɑrkH	fɑrki	fɑrkɯ
ørneklAr	ørneklɑr	ørnekler
burɑDAki	burɑdeki	burɑdɑki
jɯllArH	jɯlleri	jɯllɑrɯ
gørmA	gørmɑ	gørme
sektørHHn	sektørɯɯn	sektøryyn
kɑnunHHn	kɑnuniin	kɑnunuun
ʤinsAl	ʤinsɑl	ʤinsel
sonuʧDA	sonuʧde	sonuʧtɑ
hɑklH	hɑkli	hɑklɯ
kɑpsɑmlH	kɑpsɑmli	kɑpsɑmlɯ
hɑberleʃmA	hɑberleʃmɑ	hɑberleʃme
kyltyrH	kyltyri	kyltyry
jɯlA	jɯle	jɯlɑ
ɑɰɯrlɯklH	ɑɰɯrlɯkli	ɑɰɯrlɯklɯ
herkesA	herkesɑ	herkese
hɑlH	hɑlɯ	hɑli
ʃɑrtlAr	ʃɑrtler	ʃɑrtlɑr
hizmetlArHHn	hizmetlɑrɯɯn	hizmetleriin
devɑmlH	devɑmli	devɑmlɯ
bɑkɯmDAn	bɑkɯmden	bɑkɯmdɑn
jolDA	jolde	joldɑ
jollArH	jolleri	jollɑrɯ
køjH	køji	køjy
sɑɑtH	sɑɑtɯ	sɑɑti
bulunmAAn	bulunmeen	bulunmɑɑn
durumHn	durumin	durumun
ønlemlAr	ønlemlɑr	ønlemler
bølgelArDA	bølgelerdɑ	bølgelerde
konuDAki	konuteki	konudɑki
jøntemlAr	jøntemlɑr	jøntemler
gelmAH	gelmɑɯ	gelmei
iʃitmA	iʃitmɑ	iʃitme
hykymlAr	hykymlɑr	hykymler
mimɑrlHk	mimɑrlik	mimɑrlɯk
merkezlArH	merkezlɑrɯ	merkezleri
tɑrɯmsAl	tɑrɯmsel	tɑrɯmsɑl
bɑʃlɑArAk	bɑʃlɑerek	bɑʃlɑɑrɑk
kurɑllArH	kurɑlleri	kurɑllɑrɯ
tɑbɑnlH	tɑbɑnli	tɑbɑnlɯ
sɑhiplArH	sɑhiplɑrɯ	sɑhipleri
tytynlArHn	tytynlɑrɯn	tytynlerin
jɯlDAn	jɯlden	jɯldɑn
dønemlArDA	dønemlɑrdɑ	dønemlerde
ʧøzymlArH	ʧøzymlɑrɯ	ʧøzymleri
problemlArH	problemlɑrɯ	problemleri
genʧlAr	genʧlɑr	genʧler
bɑʃkɑnlHk	bɑʃkɑnlik	bɑʃkɑnlɯk
dønHʃ	dønuʃ	dønyʃ
etkinlHklAr	etkinliklɑr	etkinlikler
olɑjlArH	olɑjleri	olɑjlɑrɯ
girmA	girmɑ	girme
sɯʤɑklHk	sɯʤɑklik	sɯʤɑklɯk
ʃirketlArHn	ʃirketlɑrɯn	ʃirketlerin
øɰrenmA	øɰrenmɑ	øɰrenme
sɯnɑvA	sɯnɑve	sɯnɑvɑ
ɑlDHklArH	ɑltɯklɑrɯ	ɑldɯklɑrɯ
gynlAr	gynlɑr	gynler
seʧmA	seʧmɑ	seʧme
zɑrɑrlH	zɑrɑrli	zɑrɑrlɯ
sistemlArHHn	sistemlɑrɯɯn	sistemleriin
hɑlkHHn	hɑlkiin	hɑlkɯɯn
ɑʧAn	ɑʧen	ɑʧɑn
etmADA	etmɑdɑ	etmete
sistemDA	sistemdɑ	sistemde
geliʃmAH	geliʃmɑɯ	geliʃmei
kɑjɯtlArH	kɑjɯtleri	kɑjɯtlɑrɯ
okulA	okule	okulɑ
ørneklArH	ørneklɑrɯ	ørnekleri
ojunH	ojuni	ojunu
ɑdɑjlAr	ɑdɑjler	ɑdɑjlɑr
beklAnAn	beklɑnɑn	beklenen
derslArHn	derslɑrɯn	derslerin
gøstermA	gøstermɑ	gøsterme
rɑhɑtsHz	rɑhɑtsiz	rɑhɑtsɯz
isteDHklArH	istetiklɑrɯ	istedikleri
belirtArAk	belirtɑrɑk	belirterek
eɰitimA	eɰitimɑ	eɰitime
tɑrɑfH	tɑrɑfi	tɑrɑfɯ
usulH	usulu	usuly
geliʃmAlArH	geliʃmɑlɑrɯ	geliʃmeleri
ɑʃkHn	ɑʃkin	ɑʃkɯn
ødylH	ødyli	ødyly
hizmetlArHn	hizmetlɑrɯn	hizmetlerin
gitmA	gitmɑ	gitme
jyzjɯlDA	jyzjɯlde	jyzjɯldɑ
bojutlH	bojutli	bojutlu
evrensAl	evrensɑl	evrensel
nedenlArH	nedenlɑrɯ	nedenleri
deɰiʃiklHklArH	deɰiʃikliklɑrɯ	deɰiʃiklikleri
hukukH	hukuki	hukuku
kurɑllAr	kurɑller	kurɑllɑr
tɑrihsAl	tɑrihsɑl	tɑrihsel
koʃullAr	koʃuller	koʃullɑr
jɑzmA	jɑzme	jɑzmɑ
kɑblosHz	kɑblosiz	kɑblosuz
rɑporlArH	rɑporleri	rɑporlɑrɯ
notH	notɯ	notu
mesɑʒH	mesɑʒi	mesɑʒɯ
birimlArH	birimlɑrɯ	birimleri
olmAksHzHn	olmɑksizin	olmɑksɯzɯn
ɑkɯllH	ɑkɯlli	ɑkɯllɯ
bulunDHklArH	bulundiklɑrɯ	bulunduklɑrɯ
rɑporlAr	rɑporler	rɑporlɑr
denizlH	denizlɯ	denizli
ɑzɯnDAn	ɑzɯnden	ɑzɯndɑn
kesmA	kesmɑ	kesme
kutsAl	kutsel	kutsɑl
tɑktirDA	tɑktirdɑ	tɑktirde
orɑDAn	orɑden	orɑdɑn
kɯzH	kɯzi	kɯzɯ
bɑʃlɑngɯʧDA	bɑʃlɑngɯʧde	bɑʃlɑngɯʧtɑ
gynmHz	gynmiz	gynmyz
øɰretmenlAr	øɰretmenlɑr	øɰretmenler
yrynlArHHn	yrynlɑrɯɯn	yrynleriin
kɑnunDA	kɑnunde	kɑnundɑ
bojutH	bojutɯ	bojutu
bɑsArAk	bɑserek	bɑsɑrɑk
mezunH	mezuni	mezunu
ɑnlɑtAn	ɑnlɑten	ɑnlɑtɑn
okulDA	okulde	okuldɑ
kentHn	kentɯn	kentin
insɑnlHk	insɑnlik	insɑnlɯk
tɑrihA	tɑrihɑ	tɑrihe
kɑtlH	kɑtli	kɑtlɯ
nyfusH	nyfusi	nyfusu
sɯnɯfH	sɯnɯfi	sɯnɯfɯ
verimlHlHk	verimlɯlɯk	verimlilik
tɑrɑfDA	tɑrɑfde	tɑrɑftɑ
jønlH	jønli	jønly
iʃlArHn	iʃlɑrɯn	iʃlerin
iʃlemlArHn	iʃlemlɑrɯn	iʃlemlerin
plɑnDA	plɑnte	plɑndɑ
jolDAn	jolden	joldɑn
grupDA	grupde	gruptɑ
bɑkɑnlɯkʧA	bɑkɑnlɯkʧe	bɑkɑnlɯkʧɑ
sɑnɑtʧH	sɑnɑtʧi	sɑnɑtʧɯ
ɑdɑjlArHn	ɑdɑjlerin	ɑdɑjlɑrɯn
ønlAnmAH	ønlɑnmɑɯ	ønlenmei
stɑndɑrtlArH	stɑndɑrtleri	stɑndɑrtlɑrɯ
ɑrtmAH	ɑrtmei	ɑrtmɑɯ
bilmA	bilmɑ	bilme
geliʃmADA	geliʃmɑdɑ	geliʃmete
memurH	memuri	memuru
seʧeneklArH	seʧeneklɑrɯ	seʧenekleri
girmAH	girmɑɯ	girmei
jønH	jønɯ	jøny
komutH	komutɯ	komutu
hɑjɑtDA	hɑjɑtte	hɑjɑttɑ
gerʧeklAʃAn	gerʧeklɑʃɑn	gerʧekleʃen
olHnʤA	olunʤe	olunʤɑ
noktɑDAn	noktɑden	noktɑdɑn
gøryʃlArH	gøryʃlɑrɯ	gøryʃleri
genʧlArHn	genʧlɑrɯn	genʧlerin
kuruluʃHn	kuruluʃɯn	kuruluʃun
tɑleplArH	tɑleplɑrɯ	tɑlepleri
