uf	pred	sf
dikkɑtA	dikkɑtɑ	dikkɑte
rolH	rolu	roly
olmADAn	olmɑdɑn	olmɑtɑn
hɑlH	hɑlɯ	hɑli
etmADA	etmede	etmete
dikkɑtlH	dikkɑtlɯ	dikkɑtli
sɑɑtlArH	sɑɑtlɑrɯ	sɑɑtleri
usulH	usulu	usuly
sɑɑtDA	sɑɑttɑ	sɑɑtte
geliʃmADA	geliʃmede	geliʃmete
sɑɑtlHk	sɑɑtlɯk	sɑɑtlik
jɑpmADA	jɑpmɑdɑ	jɑpmɑtɑ
dikkɑtH	dikkɑtɯ	dikkɑti
bulunmADA	bulunmɑdɑ	bulunmɑtɑ
vH	vH	vi
kɑbulH	kɑbulu	kɑbuly
kontrollH	kontrollu	kontrolly
ɑlmADA	ɑlmɑdɑ	ɑlmɑtɑ
protokolH	protokolu	protokoly
ihtimɑlH	ihtimɑlɯ	ihtimɑli
vermADA	vermede	vermete
normɑlDA	normɑldɑ	normɑlde
sɑɑtlAr	sɑɑtlɑr	sɑɑtler
ʧɑlɯʃmADA	ʧɑlɯʃmɑdɑ	ʧɑlɯʃmɑtɑ
sɑɑtlArDA	sɑɑtlɑrdɑ	sɑɑtlerde
olmADA	olmɑdɑ	olmɑtɑ
iptɑlH	iptɑlɯ	iptɑli
etmADAn	etmeden	etmeten
usullArH	usullɑrɯ	usulleri
kontrollArH	kontrollɑrɯ	kontrolleri
hɑllAr	hɑllɑr	hɑller
ɑlkollH	ɑlkollu	ɑlkolly
jɑpmADAn	jɑpmɑdɑn	jɑpmɑtɑn
hɑjɑlH	hɑjɑlɯ	hɑjɑli
hɑrfH	hɑrfɯ	hɑrfi
sɑɑtDAn	sɑɑttɑn	sɑɑtten
festivɑlH	festivɑlɯ	festivɑli
syrɑtlH	syrɑtlɯ	syrɑtli
sembolH	sembolu	semboly
usullAr	usullɑr	usuller
normɑlA	normɑlɑ	normɑle
iʃgɑlH	iʃgɑlɯ	iʃgɑli
gelmADA	gelmede	gelmete
kullɑnmADA	kullɑnmɑdɑ	kullɑnmɑtɑ
hɑrflArH	hɑrflɑrɯ	hɑrfleri
gøstermADA	gøstermede	gøstermete
ksvH	ksvH	ksvi
mɑterjɑllAr	mɑterjɑllɑr	mɑterjɑller
ɑrtmADA	ɑrtmɑdɑ	ɑrtmɑtɑ
mɑterjɑlH	mɑterjɑlɯ	mɑterjɑli
terminɑlH	terminɑlɯ	terminɑli
hɑrflAr	hɑrflɑr	hɑrfler
sɑɰlɑmADA	sɑɰlɑmɑdɑ	sɑɰlɑmɑtɑ
misɑlH	misɑlɯ	misɑli
vermADAn	vermeden	vermeten
petrolHn	petrolun	petrolyn
jɑrH	jɑrɯ	jɑri
ihlɑlH	ihlɑlɯ	ihlɑli
sinjɑlH	sinjɑlɯ	sinjɑli
usulA	usulɑ	usule
rollAr	rollɑr	roller
kontrollAr	kontrollɑr	kontroller
minerɑllArH	minerɑllɑrɯ	minerɑlleri
minerɑllAr	minerɑllɑr	minerɑller
hɑllArH	hɑllɑrɯ	hɑlleri
mɑterjɑlHn	mɑterjɑlɯn	mɑterjɑlin
syrmADA	syrmede	syrmete
ʧɯkmADA	ʧɯkmɑdɑ	ʧɯkmɑtɑ
gørmADA	gørmede	gørmete
normɑlDAn	normɑldɑn	normɑlden
sembollAr	sembollɑr	semboller
kullɑnmADAn	kullɑnmɑdɑn	kullɑnmɑtɑn
sinjɑllArH	sinjɑllɑrɯ	sinjɑlleri
dikkɑtnHzH	dikkɑtnɯzɯ	dikkɑtnizi
kontrolA	kontrolɑ	kontrole
rollArH	rollɑrɯ	rolleri
jɑʃɑmADA	jɑʃɑmɑdɑ	jɑʃɑmɑtɑ
kontrolnA	kontrolnɑ	kontrolne
metɑllAr	metɑllɑr	metɑller
sɑntrɑlH	sɑntrɑlɯ	sɑntrɑli
ɑlɯnmADA	ɑlɯnmɑdɑ	ɑlɯnmɑtɑ
bulmADA	bulmɑdɑ	bulmɑtɑ
dikkɑtlArH	dikkɑtlɑrɯ	dikkɑtleri
hɑlsHzlHk	hɑlsɯzlɯk	hɑlsizlik
mɑterjɑllArH	mɑterjɑllɑrɯ	mɑterjɑlleri
protokollAr	protokollɑr	protokoller
menfɑɑtlArH	menfɑɑtlɑrɯ	menfɑɑtleri
metɑllArHn	metɑllɑrɯn	metɑllerin
oluʃmADA	oluʃmɑdɑ	oluʃmɑtɑ
sɑɑtHn	sɑɑtɯn	sɑɑtin
girmADA	girmede	girmete
mɑmullArH	mɑmullɑrɯ	mɑmulleri
sinjɑllAr	sinjɑllɑr	sinjɑller
gørmADAn	gørmeden	gørmeten
usullArA	usullɑrɑ	usullere
ʧɑlɯʃmADAn	ʧɑlɯʃmɑdɑn	ʧɑlɯʃmɑtɑn
terminɑllArH	terminɑllɑrɯ	terminɑlleri
geʧmADA	geʧmede	geʧmete
kontrolHHn	kontroluun	kontrolyyn
rolA	rolɑ	role
dikkɑtmH	dikkɑtmɯ	dikkɑtmi
ithɑlH	ithɑlɯ	ithɑli
getirmADA	getirmede	getirmete
sɑɑtlArHHn	sɑɑtlɑrɯɯn	sɑɑtleriin
kɑlmADA	kɑlmɑdɑ	kɑlmɑtɑ
mɑterjɑllArHn	mɑterjɑllɑrɯn	mɑterjɑllerin
sunmADA	sunmɑdɑ	sunmɑtɑ
gɑjrimenkullArHn	gɑjrimenkullɑrɯn	gɑjrimenkullerin
iʃtirɑkH	iʃtirɑkɯ	iʃtirɑki
kontrolsHz	kontrolsuz	kontrolsyz
menfɑɑtH	menfɑɑtɯ	menfɑɑti
ɑlkolHn	ɑlkolun	ɑlkolyn
tɑʃɯmADA	tɑʃɯmɑdɑ	tɑʃɯmɑtɑ
ɑnlɑmADA	ɑnlɑmɑdɑ	ɑnlɑmɑtɑ
iʧermADA	iʧermede	iʧermete
gɑjrimenkulHn	gɑjrimenkulun	gɑjrimenkulyn
minerɑlH	minerɑlɯ	minerɑli
minerɑllArHn	minerɑllɑrɯn	minerɑllerin
sɑɑtHHn	sɑɑtɯɯn	sɑɑtiin
sɑntrɑllAr	sɑntrɑllɑr	sɑntrɑller
kontrolDAn	kontroldɑn	kontrolden
hɑrflArHn	hɑrflɑrɯn	hɑrflerin
hɑjɑllAr	hɑjɑllɑr	hɑjɑller
ujgulɑmADA	ujgulɑmɑdɑ	ujgulɑmɑtɑ
kɑbulA	kɑbulɑ	kɑbule
ɑzɑlmADA	ɑzɑlmɑdɑ	ɑzɑlmɑtɑ
hɑlHHn	hɑlɯɯn	hɑliin
hɑrflH	hɑrflɯ	hɑrfli
kolesterolH	kolesterolu	kolesteroly
kontrolHn	kontrolun	kontrolyn
protokolHn	protokolun	protokolyn
sɑɑtlArA	sɑɑtlɑrɑ	sɑɑtlere
gitmADA	gitmede	gitmete
hɑllArA	hɑllɑrɑ	hɑllere
normɑlHn	normɑlɯn	normɑlin
rolHHn	roluun	rolyyn
sɑɰlɑmADAn	sɑɰlɑmɑdɑn	sɑɰlɑmɑtɑn
sembollArH	sembollɑrɯ	sembolleri
deɰiʃmADA	deɰiʃmede	deɰiʃmete
hɑjɑllArH	hɑjɑllɑrɯ	hɑjɑlleri
sɑɰlAnmADA	sɑɰlɑnmɑdɑ	sɑɰlɑnmɑtɑ
kɑbulnH	kɑbulnu	kɑbulny
jyrytmADA	jyrytmede	jyrytmete
ʧekmADA	ʧekmede	ʧekmete
ɑʧmADA	ɑʧmɑdɑ	ɑʧmɑtɑ
hɑkikɑtH	hɑkikɑtɯ	hɑkikɑti
hɑlDAki	hɑldɑki	hɑldeki
sɑntrɑllArH	sɑntrɑllɑrɯ	sɑntrɑlleri
bulunmADAn	bulunmɑdɑn	bulunmɑtɑn
dyzenlAnmADA	dyzenlenmede	dyzenlenmete
resulH	resulu	resuly
tɑnɯmlAmADA	tɑnɯmlɑmɑdɑ	tɑnɯmlɑmɑtɑ
terminɑllAr	terminɑllɑr	terminɑller
kurmADA	kurmɑdɑ	kurmɑtɑ
protokolA	protokolɑ	protokole
ideɑlH	ideɑlɯ	ideɑli
minerɑllArHHn	minerɑllɑrɯɯn	minerɑlleriin
sɑntrɑlHn	sɑntrɑlɯn	sɑntrɑlin
usulDA	usuldɑ	usulde
belirtmADA	belirtmede	belirtmete
gɑjrimenkullAr	gɑjrimenkullɑr	gɑjrimenkuller
bulunmAmADA	bulunmɑmɑdɑ	bulunmɑmɑtɑ
dikkɑtmHzH	dikkɑtmɯzɯ	dikkɑtmizi
etkilAmADA	etkilemede	etkilemete
globɑllAʃAn	globɑllɑʃɑn	globɑlleʃen
hɑlHn	hɑlɯn	hɑlin
husulA	husulɑ	husule
søjlemADAn	søjlemeden	søjlemeten
finɑlA	finɑlɑ	finɑle
girmADAn	girmeden	girmeten
protokolHHn	protokoluun	protokolyyn
sejɑhɑtH	sejɑhɑtɯ	sejɑhɑti
tutmADA	tutmɑdɑ	tutmɑtɑ
ʤemɑɑtH	ʤemɑɑtɯ	ʤemɑɑti
ʤAr	ʤAr	ʤer
hɑrfHn	hɑrfɯn	hɑrfin
imɑlH	imɑlɯ	imɑli
finɑlDA	finɑldɑ	finɑlde
geʧirmADA	geʧirmede	geʧirmete
iʃgɑlA	iʃgɑlɑ	iʃgɑle
ihmɑlH	ihmɑlɯ	ihmɑli
mɑmullAr	mɑmullɑr	mɑmuller
gitmADAn	gitmeden	gitmeten
byjymADA	byjymede	byjymete
bɑʃlɑmADA	bɑʃlɑmɑdɑ	bɑʃlɑmɑtɑ
hɑlmA	hɑlmɑ	hɑlme
kristɑllArH	kristɑllɑrɯ	kristɑlleri
mɑmulHn	mɑmulun	mɑmulyn
sejɑhɑtA	sejɑhɑtɑ	sejɑhɑte
jɑzmADAn	jɑzmɑdɑn	jɑzmɑtɑn
hɑkikɑtA	hɑkikɑtɑ	hɑkikɑte
kɑlmADAn	kɑlmɑdɑn	kɑlmɑtɑn
usulsHz	usulsuz	usulsyz
ɑlkolsHz	ɑlkolsuz	ɑlkolsyz
ʤemɑɑtHn	ʤemɑɑtɯn	ʤemɑɑtin
dvH	dvH	dvi
hɑllArHn	hɑllɑrɯn	hɑllerin
kɑnɑɑtH	kɑnɑɑtɯ	kɑnɑɑti
kristɑlHn	kristɑlɯn	kristɑlin
menfɑɑtlAr	menfɑɑtlɑr	menfɑɑtler
morɑlH	morɑlɯ	morɑli
sɑntrɑllArHn	sɑntrɑllɑrɯn	sɑntrɑllerin
sunmADAn	sunmɑdɑn	sunmɑtɑn
jɑʃɑmADAn	jɑʃɑmɑdɑn	jɑʃɑmɑtɑn
jɑrɑtmADA	jɑrɑtmɑdɑ	jɑrɑtmɑtɑ
belirlemADA	belirlemede	belirlemete
demADAn	demeden	demeten
desteklAmADA	desteklemede	desteklemete
ihtimɑlHHn	ihtimɑlɯɯn	ihtimɑliin
kontrolDA	kontroldɑ	kontrolde
mɑterjɑllArHHn	mɑterjɑllɑrɯɯn	mɑterjɑlleriin
okumADA	okumɑdɑ	okumɑtɑ
okumADAn	okumɑdɑn	okumɑtɑn
petrolH	petrolu	petroly
protokolDA	protokoldɑ	protokolde
jɑrHn	jɑrɯn	jɑrin
ɑlkolA	ɑlkolɑ	ɑlkole
ɑnlɑtmADA	ɑnlɑtmɑdɑ	ɑnlɑtmɑtɑ
ɑnormɑllHk	ɑnormɑllɯk	ɑnormɑllik
beklemADA	beklemede	beklemete
bilmADA	bilmede	bilmete
hɑrfnA	hɑrfnɑ	hɑrfne
jyrymADA	jyrymede	jyrymete
ɑnormɑllHklAr	ɑnormɑllɯklɑr	ɑnormɑllikler
dyʃmADA	dyʃmede	dyʃmete
ihtilɑlH	ihtilɑlɯ	ihtilɑli
izlAnmADA	izlenmede	izlenmete
kɑpsɑmADA	kɑpsɑmɑdɑ	kɑpsɑmɑtɑ
kɑtɯlmADA	kɑtɯlmɑdɑ	kɑtɯlmɑtɑ
kontrollArA	kontrollɑrɑ	kontrollere
kojmADA	kojmɑdɑ	kojmɑtɑ
mɑkbulA	mɑkbulɑ	mɑkbule
mɑmullArHHn	mɑmullɑrɯɯn	mɑmulleriin
pɑjlɑʃmADAn	pɑjlɑʃmɑdɑn	pɑjlɑʃmɑtɑn
refɑkɑtʧH	refɑkɑtʧɯ	refɑkɑtʧi
sinjɑllArHn	sinjɑllɑrɯn	sinjɑllerin
gɑjrimenkulA	gɑjrimenkulɑ	gɑjrimenkule
golDAn	goldɑn	golden
izlemADA	izlemede	izlemete
kɑlplArH	kɑlplɑrɯ	kɑlpleri
kemɑlH	kemɑlɯ	kemɑli
kolesterolHn	kolesterolun	kolesterolyn
kontrollArDA	kontrollɑrdɑ	kontrollerde
kristɑllAr	kristɑllɑr	kristɑller
mɑmullArHn	mɑmullɑrɯn	mɑmullerin
dikkɑtHn	dikkɑtɯn	dikkɑtin
dikkɑtsHzlHk	dikkɑtsɯzlɯk	dikkɑtsizlik
gɑzɑlH	gɑzɑlɯ	gɑzɑli
golH	golu	goly
ishɑlA	ishɑlɑ	ishɑle
kɑtɯlmADAn	kɑtɯlmɑdɑn	kɑtɯlmɑtɑn
kontrollArHn	kontrollɑrɯn	kontrollerin
søjlemADA	søjlemede	søjlemete
sɑntrɑllArDA	sɑntrɑllɑrdɑ	sɑntrɑllerde
sembollArHn	sembollɑrɯn	sembollerin
ulɑʃmADA	ulɑʃmɑdɑ	ulɑʃmɑtɑ
hɑlmHz	hɑlmɯz	hɑlmiz
hɑzɯrlAmADA	hɑzɯrlɑmɑdɑ	hɑzɯrlɑmɑtɑ
kɑzɑnmADA	kɑzɑnmɑdɑ	kɑzɑnmɑtɑ
liberɑllAʃmA	liberɑllɑʃmɑ	liberɑlleʃme
petrolA	petrolɑ	petrole
seʧmADA	seʧmede	seʧmete
dyzenlemADA	dyzenlemede	dyzenlemete
durmADA	durmɑdɑ	durmɑtɑ
festivɑlA	festivɑlɑ	festivɑle
kɑbullAnmA	kɑbullɑnmɑ	kɑbullenme
kɑlplH	kɑlplɯ	kɑlpli
kɑlpDAn	kɑlptɑn	kɑlpten
kontrollArHHn	kontrollɑrɯɯn	kontrolleriin
korumADA	korumɑdɑ	korumɑtɑ
