uf	pred	sf
gøzH	gøzi	gøzy
jemekDA	jemekde	jemekte
hɑlHn	hɑlɯn	hɑlin
trɑktørH	trɑktørɯ	trɑktøry
kojHnʤA	kojɯnʤɑ	kojunʤɑ
okulH	okulɯ	okulu
ujkumHzH	ujkumɯzɯ	ujkumuzu
jeDHkDAn	jedikden	jedikten
bɑloHn	bɑloɯn	bɑloun
øpHnʤA	øpinʤe	øpynʤe
kolH	kolɯ	kolu
ɑjdɯnlɯkDA	ɑjdɯnlɯkdɑ	ɑjdɯnlɯktɑ
rɑdjoH	rɑdjoɯ	rɑdjou
domuzH	domuzɯ	domuzu
hɑvluH	hɑvluɯ	hɑvluu
jolHn	jolɯn	jolun
telefonHn	telefonɯn	telefonun
konHʃ	konɯʃ	konuʃ
ørtyH	ørtyi	ørtyy
tuzsHz	tuzsɯz	tuzsuz
televizjonH	televizjonɯ	televizjonu
kitɑpDAn	kitɑpdɑn	kitɑptɑn
pɑketDA	pɑketde	pɑkette
mutDA	mutdɑ	muttɑ
uzɑkDA	uzɑkdɑ	uzɑktɑ
soɰukDA	soɰukdɑ	soɰuktɑ
nɑmluH	nɑmluɯ	nɑmluu
kojHp	kojɯp	kojup
gynHn	gynin	gynyn
syrHp	syrip	syryp
gitDHkDAn	gitdikden	gittikten
kovbojHn	kovbojɯn	kovbojun
kulypDA	kulypde	kulypte
sønDHkDAn	søndikden	søndykten
komʃuHn	komʃuɯn	komʃuun
korkHp	korkɯp	korkup
dɑvulHn	dɑvulɯn	dɑvulun
ujkunH	ujkunɯ	ujkunu
ʃøførsHz	ʃøførsiz	ʃøførsyz
koltukDAn	koltukdɑn	koltuktɑn
ɑɰɑʧDA	ɑɰɑʧdɑ	ɑɰɑʧtɑ
sɑɑtmH	sɑɑtmɯ	sɑɑtmi
verHʃDA	veriʃde	veriʃte
kordonHn	kordonɯn	kordonun
tulumHn	tulumɯn	tulumun
sønHnʤA	søninʤe	sønynʤe
televizjonnHz	televizjonnɯz	televizjonnuz
silɑfonHn	silɑfonɯn	silɑfonun
tɑrɑfDA	tɑrɑfdɑ	tɑrɑftɑ
kreʃDAn	kreʃden	kreʃten
bɑʃDAn	bɑʃdɑn	bɑʃtɑn
jyzHn	jyzin	jyzyn
ruʒmH	ruʒmɯ	ruʒmu
koʃmADAn	koʃmɑdɑn	koʃmɑtɑn
jɑnɑkDAn	jɑnɑkdɑn	jɑnɑktɑn
bebekDA	bebekde	bebekte
kolHn	kolɯn	kolun
