uf	pred	sf
generaLis	generaris	generalis
furiaLis	furiaris	furialis
inkorporaLis	inkorporaris	inkorporalis
perliberaLis	perliberaris	perliberalis
awernaLis	awernaris	awernalis
libraLis	libraris	libralis
inliberaLis	inliberaris	inliberalis
kadrigaLis	kadrigaris	kadrigalis
korporaLis	korporaris	korporalis
trigonaLis	trigonaris	trigonalis
ruminaLis	ruminaris	ruminalis
memoriaLis	memoriaris	memorialis
dorsuaLis	dorsuaris	dorsualis
nowerkaLis	nowerkaris	nowerkalis
iliberaLis	iliberaris	iliberalis
kentumwiraLis	kentumwiraris	kentumwiralis
arwaLis	arwaris	arwalis
