UF	SF
kimuli	kimuli
nupuɹu	nupuɹu
begili	begili
tubuɹu	tubuɹu
begiɹu	begiɹu
nenuɹu	nenuɹu
gunuli	gunuli
kimuɹu	kimuɹu
tubuli	tubuli
gunuɹu	gunuɹu
detuɹu	detuɹu
detuli	detuli
negoɹu	negoɹu
negoli	negoli
nenuli	nenuli
nupuli	nupuli
diLukili	diɹukili
deLoteli	deɹoteli
gebimeɹu	gebimeɹu
niLogili	niɹogili
kegepoli	kegepoli
tebegoɹu	tebegoɹu
moLiteli	moɹiteli
niLogiɹu	nilogiɹu
kodugiɹu	kodugiɹu
gotupeli	gotupeli
noLogeɹu	nologeɹu
gunetoli	gunetoli
niLedeli	niɹedeli
menemuɹu	menemuɹu
kumibuɹu	kumibuɹu
teLinili	teɹinili
noLuduɹu	noluduɹu
tuLetiɹu	tuletiɹu
gototuli	gototuli
kugopeli	kugopeli
duLetiɹu	duletiɹu
digemili	digemili
kebegeli	kebegeli
buLoniɹu	buloniɹu
bediboli	bediboli
duLimiɹu	dulimiɹu
notodeɹu	notodeɹu
binuguɹu	binuguɹu
mopudili	mopudili
gopegili	gopegili
kubokuɹu	kubokuɹu
goLepeli	goɹepeli
dobekili	dobekili
nigunoɹu	nigunoɹu
tudugiɹu	tudugiɹu
puLomiɹu	pulomiɹu
nunupuli	nunupuli
dinupuɹu	dinupuɹu
pipibeɹu	pipibeɹu
diLiniɹu	diliniɹu
pigipoɹu	pigipoɹu
niLedeɹu	niledeɹu
goditili	goditili
giLugiɹu	gilugiɹu
mobugili	mobugili
kiLupoli	kiɹupoli
pigipoli	pigipoli
miLomuli	miɹomuli
tuLinili	tuɹinili
geLukoli	geɹukoli
gototuɹu	gototuɹu
botopili	botopili
giLimeɹu	gilimeɹu
mobugiɹu	mobugiɹu
poLekuli	poɹekuli
tiLepeɹu	tilepeɹu
topotoli	topotoli
dinupuli	dinupuli
dopomoli	dopomoli
giLituli	giɹituli
niLigiɹu	niligiɹu
diLiguli	diɹiguli
tuLodoɹu	tulodoɹu
nuLugeɹu	nulugeɹu
mokomili	mokomili
bukikuli	bukikuli
gidepoɹu	gidepoɹu
neLegili	neɹegili
tuLiniɹu	tuliniɹu
noLomuɹu	nolomuɹu
digemiɹu	digemiɹu
piLinuli	piɹinuli
peLopiɹu	pelopiɹu
gokomuɹu	gokomuɹu
geLotiɹu	gelotiɹu
deLekili	deɹekili
mekipuɹu	mekipuɹu
gopikuli	gopikuli
toLimeɹu	tolimeɹu
puLomeli	puɹomeli
bikebeɹu	bikebeɹu
dugenuli	dugenuli
neLegiɹu	nelegiɹu
giLogiɹu	gilogiɹu
koLimeɹu	kolimeɹu
notodeli	notodeli
muLodeɹu	mulodeɹu
deLoteɹu	deloteɹu
toLobeli	toɹobeli
geLotili	geɹotili
pipibeli	pipibeli
puLomili	puɹomili
peLokoɹu	pelokoɹu
bepoguli	bepoguli
ninogeɹu	ninogeɹu
gopikuɹu	gopikuɹu
teLomuli	teɹomuli
goLibeli	goɹibeli
mikekeɹu	mikekeɹu
gebimeli	gebimeli
kumibuli	kumibuli
kenipoli	kenipoli
kepikoɹu	kepikoɹu
pinenoɹu	pinenoɹu
tetudeli	tetudeli
nuLigiɹu	nuligiɹu
tumetiɹu	tumetiɹu
miguneɹu	miguneɹu
kenipoɹu	kenipoɹu
neLimiɹu	nelimiɹu
gopegiɹu	gopegiɹu
dikubuli	dikubuli
gidepoli	gidepoli
beLegeɹu	belegeɹu
puLituli	puɹituli
giLugili	giɹugili
tiLepeli	tiɹepeli
nimipuɹu	nimipuɹu
ginopili	ginopili
noLutoɹu	nolutoɹu
kubokuli	kubokuli
diLiguɹu	diliguɹu
deLekiɹu	delekiɹu
puLotuɹu	pulotuɹu
kiLidoɹu	kilidoɹu
binuguli	binuguli
kiLupoɹu	kilupoɹu
diLineli	diɹineli
mekipuli	mekipuli
keLidoɹu	kelidoɹu
peLedoɹu	peledoɹu
diLineɹu	dilineɹu
denitoɹu	denitoɹu
miLutuɹu	milutuɹu
dugenuɹu	dugenuɹu
tuLigoɹu	tuligoɹu
muLikeɹu	mulikeɹu
tibukoɹu	tibukoɹu
diLinili	diɹinili
kugimuɹu	kugimuɹu
buLoneli	buɹoneli
nobimiɹu	nobimiɹu
boLudeɹu	boludeɹu
peLimeɹu	pelimeɹu
buLitoli	buɹitoli
toLobeɹu	tolobeɹu
niLomoɹu	nilomoɹu
nuLimuɹu	nulimuɹu
tuLodoli	tuɹodoli
digimuɹu	digimuɹu
gubogeɹu	gubogeɹu
topotoɹu	topotoɹu
tutumeɹu	tutumeɹu
giLumuli	giɹumuli
biLipiɹu	bilipiɹu
puLomeɹu	pulomeɹu
muLodeli	muɹodeli
monuneɹu	monuneɹu
koLodili	koɹodili
nebebuli	nebebuli
teLiboli	teɹiboli
tutumeli	tutumeli
dupinuli	dupinuli
goLibeɹu	golibeɹu
meLupili	meɹupili
niLobeɹu	nilobeɹu
toLudeli	toɹudeli
gidipeli	gidipeli
goduduɹu	goduduɹu
kuLikili	kuɹikili
dodeneli	dodeneli
beLepiɹu	belepiɹu
piLinuɹu	pilinuɹu
teLunuli	teɹunuli
noLutoli	noɹutoli
buLoneɹu	buloneɹu
tibukoli	tibukoli
nobimili	nobimili
beLubili	beɹubili
bipemiɹu	bipemiɹu
biLipili	biɹipili
nunupuɹu	nunupuɹu
benomoli	benomoli
nebebuɹu	nebebuɹu
buLutoli	buɹutoli
diLukiɹu	dilukiɹu
kugimuli	kugimuli
beLubiɹu	belubiɹu
mobibuli	mobibuli
miLutuli	miɹutuli
giLogili	giɹogili
gonodeli	gonodeli
miLimuli	miɹimuli
kiLidoli	kiɹidoli
diLoneɹu	diloneɹu
kugopeɹu	kugopeɹu
gubogeli	gubogeli
guLubili	guɹubili
mukobeɹu	mukobeɹu
giLimeli	giɹimeli
mepukeɹu	mepukeɹu
geLomili	geɹomili
ninogeli	ninogeli
dopupuɹu	dopupuɹu
buLobuɹu	bulobuɹu
tukenuɹu	tukenuɹu
metutoɹu	metutoɹu
kutomoli	kutomoli
gotupeɹu	gotupeɹu
bedogiɹu	bedogiɹu
tukenuli	tukenuli
poLonuli	poɹonuli
nitetiɹu	nitetiɹu
koLimeli	koɹimeli
teLomuɹu	telomuɹu
kebegeɹu	kebegeɹu
geLomiɹu	gelomiɹu
bediboɹu	bediboɹu
buLutoɹu	bulutoɹu
mumekoli	mumekoli
dodumoli	dodumoli
beLepoli	beɹepoli
bipiduli	bipiduli
kuLikiɹu	kulikiɹu
teLunuɹu	telunuɹu
teLiniɹu	teliniɹu
niLomoli	niɹomoli
boLopoli	boɹopoli
nuLugeli	nuɹugeli
keLidoli	keɹidoli
mikekeli	mikekeli
tuLetili	tuɹetili
nuLigili	nuɹigili
ginopiɹu	ginopiɹu
tudugili	tudugili
miLimuɹu	milimuɹu
doduboɹu	doduboɹu
giLituɹu	gilituɹu
gonodeɹu	gonodeɹu
pumegoli	pumegoli
guLubiɹu	gulubiɹu
geLukoɹu	gelukoɹu
bikebeli	bikebeli
betogeli	betogeli
nuLiboɹu	nuliboɹu
peLimeli	peɹimeli
beLegeli	beɹegeli
dodumoɹu	dodumoɹu
noLomuli	noɹomuli
metutoli	metutoli
poLeneli	poɹeneli
temediɹu	temediɹu
begetili	begetili
pumegoɹu	pumegoɹu
teLiboɹu	teliboɹu
munegoɹu	munegoɹu
poLeneɹu	poleneɹu
kepikoli	kepikoli
tumetili	tumetili
muLikeli	muɹikeli
gidekoli	gidekoli
noLogeli	noɹogeli
dubudoli	dubudoli
boLudeli	boɹudeli
peLopili	peɹopili
benomoɹu	benomoɹu
nigunoli	nigunoli
dopupuli	dopupuli
puLotuli	puɹotuli
doLetoli	doɹetoli
toLudeɹu	toludeɹu
doLetoɹu	doletoɹu
mopudiɹu	mopudiɹu
nimipuli	nimipuli
gipedili	gipedili
temedili	temedili
tetudeɹu	tetudeɹu
gipediɹu	gipediɹu
teLibuɹu	telibuɹu
goLepeɹu	golepeɹu
dopomoɹu	dopomoɹu
poLekuɹu	polekuɹu
buLobuli	buɹobuli
kigepoli	kigepoli
duLetili	duɹetili
meLepeli	meɹepeli
nuLiboli	nuɹiboli
peLopoɹu	pelopoɹu
ninedeli	ninedeli
biLipeɹu	bilipeɹu
neLimili	neɹimili
dibipeli	dibipeli
peLokoli	peɹokoli
dodeneɹu	dodeneɹu
bipemili	bipemili
niLupeɹu	nilupeɹu
guLupuli	guɹupuli
menemuli	menemuli
dikubuɹu	dikubuɹu
digimuli	digimuli
mepukeli	mepukeli
tuLigoli	tuɹigoli
puLituɹu	pulituɹu
meLupiɹu	melupiɹu
peLopoli	peɹopoli
tudukiɹu	tudukiɹu
gunetoɹu	gunetoɹu
biLipeli	biɹipeli
mumekoɹu	mumekoɹu
noLuduli	noɹuduli
denitoli	denitoli
duLukiɹu	dulukiɹu
boLopoɹu	bolopoɹu
beLepili	beɹepili
kopigeli	kopigeli
kigepoɹu	kigepoɹu
nuLimuli	nuɹimuli
buLitoɹu	bulitoɹu
betogeɹu	betogeɹu
