Word	UF	SF	Freq
yhdistää	yhdistæA	yhdistææ	4075
hankkia	hɑnkkiA	hɑnkkiɑ	4031
varustettu	vɑrustettU	vɑrustettu	2400
vastausta	vɑstɑUstA	vɑstɑustɑ	2392
velvollisuus	velvollisUUs	velvollisuus	2254
voittoa	voittoA	voittoɑ	2033
neuvostoa	neuvostoA	neuvostoɑ	1785
viettää	viettæA	viettææ	1688
otteeseen	otteeseen	otteeseen	1670
television	television	television	1518
lääketieteen	lææketieteen	lææketieteen	1438
mestari	mestɑri	mestɑri	1412
vienti	vienti	vienti	1258
perusteltu	perusteltU	perusteltu	1151
ehdolla	ehdollA	ehdollɑ	999
vapaaehtoisesti	vɑpɑAehtoisesti	vɑpɑɑehtoisesti	963
ulkomaiset	ulkomɑiset	ulkomɑiset	813
muisti	muisti	muisti	787
tultava	tultAvA	tultɑvɑ	761
tuonnin	tuonnin	tuonnin	736
kymmenien	kymmenien	kymmenien	733
lappeenranta	lɑppeenrɑntɑ	lɑppeenrɑntɑ	705
järjestystä	jærjestUstA	jærjestystæ	680
torstaisin	torstɑisin	torstɑisin	667
urheilua	urheilUA	urheiluɑ	607
daniel	dɑniel	dɑniel	565
kuolla	kuollA	kuollɑ	538
vaikutusvaltaa	vɑikutUsvɑltɑA	vɑikutusvɑltɑɑ	531
kestävyys	kestævUUs	kestævyys	518
bryssel	bryssel	bryssel	483
eduskuntaryhmän	eduskuntɑryhmæn	eduskuntɑryhmæn	482
pahat	pɑhɑt	pɑhɑt	457
ajoilta	ɑjoiltA	ɑjoiltɑ	444
kertomalla	kertomAllA	kertomɑllɑ	417
pitämistä	pitæmistA	pitæmistæ	400
rakennusluvan	rɑkennUsluvɑn	rɑkennusluvɑn	375
ainuttakaan	ɑinuttAkAAn	ɑinuttɑkɑɑn	364
sillanpää	sillɑnpææ	sillɑnpææ	360
hävitä	hævitA	hævitæ	353
tilastollisesti	tilɑstollisesti	tilɑstollisesti	345
myöhemmässä	myøhemmAssA	myøhemmæssæ	342
yllättäviä	yllættAviA	yllættæviæ	307
laude	lɑude	lɑude	305
istuin	istuin	istuin	298
tarjoaisi	tɑrjoɑisi	tɑrjoɑisi	281
teoista	teoistA	teoistɑ	275
luettavaksi	luettAvAksi	luettɑvɑksi	270
korkeakoulusta	korkeɑkoulustA	korkeɑkoulustɑ	262
puhdistamon	puhdistɑmon	puhdistɑmon	241
kokeisiin	kokeisiin	kokeisiin	233
veronmaksajille	veronmɑksɑjille	veronmɑksɑjille	232
ostovoimaa	ostovoimɑɑ	ostovoimɑɑ	227
verrattiin	verrɑttiin	verrɑttiin	222
nettiin	nettiin	nettiin	215
jerry	jerry	jerry	209
poimittu	poimittU	poimittu	191
näytteillä	næytteillA	næytteillæ	185
kana	kɑnɑ	kɑnɑ	182
poltettiin	poltettiin	poltettiin	181
pukeutua	pukeUtUA	pukeutuɑ	178
collins	kollins	kollins	175
elämäntapaan	elæmAntɑpɑAn	elæmæntɑpɑɑn	174
rekisteriä	rekisteriA	rekisteriæ	173
elvis	elvis	elvis	167
liikenneväylien	liikennevæylien	liikennevæylien	166
kokoelmaa	kokoelmɑA	kokoelmɑɑ	165
varmemmin	vɑrmemmin	vɑrmemmin	162
terveyspalveluja	terveUspɑlvelUjA	terveyspɑlvelujɑ	158
hakemuksesi	hɑkemuksesi	hɑkemuksesi	157
nykytilan	nykytilɑn	nykytilɑn	153
talvesta	tɑlvestA	tɑlvestɑ	151
estämistä	estæmistA	estæmistæ	150
seuransa	seurɑnsA	seurɑnsɑ	148
milligrammaa	milligrɑmmɑA	milligrɑmmɑɑ	144
collinsin	kollinsin	kollinsin	143
menetelmänä	menetelmænA	menetelmænæ	139
voitelu	voitelU	voitelu	138
viimeaikainen	viimeɑikɑinen	viimeɑikɑinen	137
eno	eno	eno	136
karhunen	kɑrhunen	kɑrhunen	134
monikansallisia	monikɑnsɑllisiA	monikɑnsɑllisiɑ	134
kaatuvat	kɑɑtuvAt	kɑɑtuvɑt	126
vaimoaan	vɑimoAAn	vɑimoɑɑn	124
virtaava	virtɑɑvA	virtɑɑvɑ	120
ruuhka	ruuhkɑ	ruuhkɑ	119
yksilöille	yksiløille	yksiløille	119
myynnillä	myynnillA	myynnillæ	113
henkivakuutusyhtiö	henkivɑkuutUsyhtiø	henkivɑkuutusyhtiø	112
rentouttaa	rentouttɑA	rentouttɑɑ	110
valmistaudumme	vɑlmistɑudumme	vɑlmistɑudumme	110
