uf	pred	sf
gelAn	geldn	gelen
gynH	gyni	gyny
gerekAn	gerekɑn	gereken
geʧAn	geʧɑn	geʧen
bilgilArH	bilgilɑri	bilgileri
jolH	jolɯ	jolu
bilgilAr	bilgilɑr	bilgiler
øɰrenʤilAr	øɰrenʤilɑr	øɰrenʤiler
øzellHklArH	øzelliklɑri	øzellikleri
dønemDA	dønemdɑ	dønemde
biʧimDA	biʧimdd	biʧimde
hɑlDA	hɑldɑ	hɑlde
bilimsAl	bilimsdl	bilimsel
jerDA	jerdɑ	jerde
øɰrenʤilArHn	øɰrenʤilɑrin	øɰrenʤilerin
yjelArH	yjelɑri	yjeleri
sistemlArH	sistemlɑri	sistemleri
vermA	vermi	verme
gørmA	gørmɑ	gørme
deɰerlendirmA	deɰerlendirmd	deɰerlendirme
dikkɑtA	dikkɑtɑ	dikkɑte
iʧerAn	iʧerdn	iʧeren
dyzenlAnAn	dyzenlɑndn	dyzenlenen
iʃlemlArH	iʃlemlɑri	iʃlemleri
ølʧyDA	ølʧydɑ	ølʧyde
jyzDAn	jyzddn	jyzden
kiʃilAr	kiʃilɑr	kiʃiler
kodH	kodɯ	kodu
gynmHzDA	gynmizdɑ	gynmyzde
bølgeDA	bølgedɑ	bølgede
syreDA	syredɑ	syrede
kiʃisAl	kiʃisdl	kiʃisel
geliʃmA	geliʃmɑ	geliʃme
kɑnunHn	kɑnunɯn	kɑnunun
ylkeDA	ylkedi	ylkede
yrynlAr	yrynlɑr	yrynler
iʃH	iʃɯ	iʃi
fiziksAl	fiziksdl	fiziksel
kiʃilArHn	kiʃilɑrin	kiʃilerin
dilA	dilɑ	dile
bɑʃDA	bɑʃdɑ	bɑʃtɑ
sonH	sonɯ	sonu
toplumHn	toplumɯn	toplumun
ermAnH	ermɑni	ermeni
jøntemlArH	jøntemlɑri	jøntemleri
dyzejDA	dyzejdɑ	dyzejde
ylkelAr	ylkelɑr	ylkeler
formH	formɯ	formu
nelAr	nelɑr	neler
birejsAl	birejsɑl	birejsel
iʃA	iʃɑ	iʃe
enstityH	enstityi	enstityy
demA	demɑ	deme
hizmetlAr	hizmetlɑr	hizmetler
gørAn	gørɑn	gøren
ylkelArDA	ylkelɑrdɑ	ylkelerde
gynDA	gyndd	gynde
okulH	okulɯ	okulu
derslAr	derslɑr	dersler
ʃejlAr	ʃejlɑr	ʃejler
øɰrenʤilArA	øɰrenʤilɑrd	øɰrenʤilere
iʃHn	iʃɯn	iʃin
iʃlArH	iʃlɑrɯ	iʃleri
hykymlArH	hykymlɑri	hykymleri
bølymDA	bølymdd	bølymde
dereʤeDA	dereʤedi	dereʤede
tyrH	tyri	tyry
gynlArDA	gynlɑrdɑ	gynlerde
dyzenlemA	dyzenlemi	dyzenleme
iʃlemlAr	iʃlemlɑr	iʃlemler
