UF	SF	Freq
familiaLis	familiaris	202.0
mortaLis	mortalis	95.0
naturaLis	naturalis	86.0
konsulaLis	konsularis	77.0
liberaLis	liberalis	71.0
militaLis	militaris	70.0
populaLis	popularis	65.0
singulaLis	singularis	51.0
salutaLis	salutaris	48.0
hilaLis	hilaris	40.0
keriaLis	kerialis	34.0
wulgaLis	wulgaris	32.0
pekuliaLis	pekuliaris	28.0
apolinaLis	apolinaris	28.0
immortaLis	immortalis	26.0
martiaLis	martialis	18.0
inmortaLis	inmortalis	17.0
feraLis	feralis	17.0
prinkipaLis	prinkipalis	13.0
muraLis	muralis	12.0
letaLis	letalis	12.0
triumpaLis	triumpalis	12.0
solstitiaLis	solstitialis	10.0
lunaLis	lunaris	9.0
pluwiaLis	pluwialis	9.0
glakiaLis	glakialis	9.0
koniekturaLis	koniekturalis	9.0
riwaLis	riwalis	8.0
rationaLis	rationalis	8.0
fluwiaLis	fluwialis	7.0
brumaLis	brumalis	6.0
sideraLis	sideralis	6.0
prowinkiaLis	prowinkialis	6.0
kereaLis	kerealis	6.0
iuridikiaLis	iuridikialis	6.0
wolgaLis	wolgaris	5.0
manipulaLis	manipularis	5.0
eksemplaLis	eksemplaris	5.0
generaLis	generalis	5.0
auksiliaLis	auksiliaris	5.0
figulaLis	figularis	4.0
austraLis	australis	4.0
nemoraLis	nemoralis	4.0
kirinaLis	kirinalis	4.0
uulgaLis	uulgaris	4.0
wirginaLis	wirginalis	3.0
teatraLis	teatralis	3.0
moraLis	moralis	3.0
inrationaLis	inrationalis	3.0
puelaLis	puelaris	3.0
kohortaLis	kohortalis	3.0
pastoraLis	pastoralis	3.0
kubikulaLis	kubikularis	3.0
ekstemporaLis	ekstemporalis	3.0
furiaLis	furialis	3.0
maritaLis	maritalis	3.0
auguraLis	auguralis	3.0
interkalaLis	interkalaris	3.0
urkeolaLis	urkeolaris	2.0
solaLis	solaris	2.0
penetraLis	penetralis	2.0
inkorporaLis	inkorporalis	2.0
matronaLis	matronalis	2.0
palmaLis	palmaris	2.0
karmentaLis	karmentalis	2.0
perfamiliaLis	perfamiliaris	2.0
perliberaLis	perliberalis	2.0
histrionaLis	histrionalis	2.0
awernaLis	awernalis	1.0
trabaLis	trabalis	1.0
esuriaLis	esurialis	1.0
kapulaLis	kapularis	1.0
libraLis	libralis	1.0
tripedaLis	tripedalis	1.0
inliberaLis	inliberalis	1.0
maksilaLis	maksilaris	1.0
menstruaLis	menstrualis	1.0
pertaLis	pertalis	1.0
kentraLis	kentralis	1.0
tabulaLis	tabularis	1.0
formaLis	formalis	1.0
kadrigaLis	kadrigalis	1.0
korporaLis	korporalis	1.0
palmipedaLis	palmipedalis	1.0
kommortaLis	kommortalis	1.0
pedikulaLis	pedikularis	1.0
surkulaLis	surkularis	1.0
latiaLis	latiaris	1.0
maniplaLis	maniplaris	1.0
trigonaLis	trigonalis	1.0
armentaLis	armentalis	1.0
krinaLis	krinalis	1.0
ruminaLis	ruminalis	1.0
riuaLis	riualis	1.0
triumuiraLis	triumuiralis	1.0
memoriaLis	memorialis	1.0
dorsuaLis	dorsualis	1.0
sepulkraLis	sepulkralis	1.0
originaLis	originalis	1.0
nowerkaLis	nowerkalis	1.0
lustraLis	lustralis	1.0
wolataLis	wolatalis	1.0
latrokinaLis	latrokinalis	1.0
litoraLis	litoralis	1.0
medulaLis	medularis	1.0
epulaLis	epularis	1.0
terminaLis	terminalis	1.0
wrginaLis	wrginalis	1.0
appelaLis	appelaris	1.0
famniliaLis	famniliaris	1.0
wiraLis	wiralis	1.0
turmaLis	turmalis	1.0
artifikiaLis	artifikialis	1.0
iliberaLis	iliberalis	1.0
etfamiliaLis	etfamiliaris	1.0
kentumwiraLis	kentumwiralis	1.0
latiaLis	latialis	1.0
arwaLis	arwalis	1.0
dekemwiraLis	dekemwiralis	1.0
primipilaLis	primipilaris	1.0
kolaLis	kolaris	1.0
