uf	pred	sf
sææstøistAAn	sææstøistɑɑn	sææstøistææn
pæællekkæisiltA	pæællekkæisiltɑ	pæællekkæisiltæ
heinApææn	heinɑpææn	heinæpææn
kɑnssɑkilpɑilijOiden	kɑnssɑkilpɑilijøiden	kɑnssɑkilpɑilijoiden
mɑɑnpæællisillA	mɑɑnpæællisillɑ	mɑɑnpæællisillæ
næhdessA	næhdessɑ	næhdessæ
konetyyppiA	konetyyppiɑ	konetyyppiæ
kuluttAjAhintɑindeksistA	kuluttɑjɑhintɑindeksistɑ	kuluttɑjɑhintɑindeksistæ
læhestyttAvAn	læhestyttɑvɑn	læhestyttævæn
pureekO	pureekø	pureeko
etsintAkuulutUkset	etsintɑkuulutukset	etsintækuulutukset
myøtæjæisistA	myøtæjæisistɑ	myøtæjæisistæ
ylæhirrestA	ylæhirrestɑ	ylæhirrestæ
erillisinAkin	erillisinɑkin	erillisinækin
jælkijættøiseltA	jælkijættøiseltɑ	jælkijættøiseltæ
jæseneltAAn	jæseneltɑɑn	jæseneltææn
lettiA	lettiɑ	lettiæ
myrkkysæiliøitA	myrkkysæiliøitɑ	myrkkysæiliøitæ
niemekkeellA	niemekkeellɑ	niemekkeellæ
pidettUkAAn	pidettukɑɑn	pidettykææn
piirtæmistAAn	piirtæmistɑɑn	piirtæmistææn
toimenpiteenAAn	toimenpiteenɑɑn	toimenpiteenææn
vetæjApulɑ	vetæjɑpulɑ	vetæjæpulɑ
viljelUtilojA	viljelutilojɑ	viljelytilojɑ
yønæytøksenA	yønæytøksenɑ	yønæytøksenæ
ɑrvomerkkinsA	ɑrvomerkkinsɑ	ɑrvomerkkinsæ
ɑrvostelijOillA	ɑrvostelijøillɑ	ɑrvostelijoillɑ
edustUskysymyksessA	edustuskysymyksessɑ	edustuskysymyksessæ
hɑlpɑmyyntiA	hɑlpɑmyyntiɑ	hɑlpɑmyyntiæ
itæhelsinkilAiset	itæhelsinkilɑiset	itæhelsinkilæiset
joulutOntuille	joulutøntuille	joulutontuille
jærkeenkæyvæltA	jærkeenkæyvæltɑ	jærkeenkæyvæltæ
kɑnsɑnryhmissA	kɑnsɑnryhmissɑ	kɑnsɑnryhmissæ
kulkuyhteydestA	kulkuyhteydestɑ	kulkuyhteydestæ
kyyhøttævAn	kyyhøttævɑn	kyyhøttævæn
køøriA	køøriɑ	køøriæ
lisævesiA	lisævesiɑ	lisævesiæ
lomitUstehtæviA	lomitustehtæviɑ	lomitustehtæviæ
lænsimæessA	lænsimæessɑ	lænsimæessæ
mɑɑlɑɑkO	mɑɑlɑɑkø	mɑɑlɑɑko
mɑidontuotɑntokykyA	mɑidontuotɑntokykyɑ	mɑidontuotɑntokykyæ
mosɑiikkitøitA	mosɑiikkitøitɑ	mosɑiikkitøitæ
pɑksunsuolensyøvAssA	pɑksunsuolensyøvɑssɑ	pɑksunsuolensyøvæssæ
pitæjAnkɑrttAAn	pitæjɑnkɑrttɑɑn	pitæjænkɑrttɑɑn
pyrkimyksillAmme	pyrkimyksillɑmme	pyrkimyksillæmme
pærjænneitA	pærjænneitɑ	pærjænneitæ
rɑhɑnkæyttøOnsA	rɑhɑnkæyttøønsɑ	rɑhɑnkæyttøønsæ
rippikouluikæAn	rippikouluikæɑn	rippikouluikææn
syøpæyhdistUsten	syøpæyhdistusten	syøpæyhdistysten
tɑjuttOmAAn	tɑjuttømɑɑn	tɑjuttomɑɑn
tuomioistuinkæsittelUjA	tuomioistuinkæsittelujɑ	tuomioistuinkæsittelyjæ
tærkeimpiAkin	tærkeimpiɑkin	tærkeimpiækin
tærvelemAstA	tærvelemɑstɑ	tærvelemæstæ
vɑluuttɑliittoOn	vɑluuttɑliittoøn	vɑluuttɑliittoon
yrttikylpyjA	yrttikylpyjɑ	yrttikylpyjæ
