uf	pred	sf
sopimuskorotUksistA	sopimuskorotuksistæ	sopimuskorotuksistɑ
mielipidekyselUUn	mielipidekyseluun	mielipidekyselyyn
hotelliinsA	hotelliinsæ	hotelliinsɑ
psykoottistA	psykoottistæ	psykoottistɑ
lɑihempiA	lɑihempiæ	lɑihempiɑ
læhentymisehdoistA	læhentymisehdoistæ	læhentymisehdoistɑ
retkeilUvɑrusteitA	retkeiluvɑrusteitæ	retkeilyvɑrusteitɑ
tɑlousuutisissA	tɑlousuutisissæ	tɑlousuutisissɑ
edellytettUjen	edellytettujen	edellytettyjen
filosofioistA	filosofioistæ	filosofioistɑ
koulutettAvinA	koulutettævinæ	koulutettɑvinɑ
oivɑllettAvAksi	oivɑllettævæksi	oivɑllettɑvɑksi
pistetUt	pistetut	pistetyt
syntyɑjoiltA	syntyɑjoiltæ	syntyɑjoiltɑ
ylæhirrestA	ylæhirrestɑ	ylæhirrestæ
erkɑɑntuivAt	erkɑɑntuivæt	erkɑɑntuivɑt
hyvitUksinA	hyvituksinæ	hyvityksinæ
jæseneltAAn	jæseneltɑɑn	jæseneltææn
kɑikenkokoisissA	kɑikenkokoisissæ	kɑikenkokoisissɑ
kylmenevAssA	kylmenevɑssɑ	kylmenevæssæ
læhitɑloistA	læhitɑloistæ	læhitɑloistɑ
pidettUkAAn	pidettukɑɑn	pidettykææn
pukeUtUmistiloissA	pukeutumistiloissæ	pukeutumistiloissɑ
uutislæhteenA	uutislæhteenɑ	uutislæhteenæ
ærsyttæAkO	ærsyttææko	ærsyttæækø
æænihɑrɑvoinA	æænihɑrɑvoinæ	æænihɑrɑvoinɑ
ɑseteltAessA	ɑseteltæessɑ	ɑseteltɑessɑ
brittisotilɑistA	brittisotilɑistæ	brittisotilɑistɑ
edustUskysymyksessA	edustyskysymyksessɑ	edustuskysymyksessæ
hɑydnistA	hɑydnistæ	hɑydnistɑ
henkiløhɑɑstɑttelUillA	henkiløhɑɑstɑtteluillæ	henkiløhɑɑstɑtteluillɑ
iskunvɑimentimiA	iskunvɑimentimiæ	iskunvɑimentimiɑ
kɑsvintɑrkɑstɑjillA	kɑsvintɑrkɑstɑjillæ	kɑsvintɑrkɑstɑjillɑ
kotimɑisemiinsA	kotimɑisemiinsæ	kotimɑisemiinsɑ
kulkuyhteydestA	kulkuyhteydestɑ	kulkuyhteydestæ
kuriositeettiA	kuriositeettiæ	kuriositeettiɑ
loiskivA	loiskivæ	loiskivɑ
loiskivAt	loiskivæt	loiskivɑt
ohjɑilemistA	ohjɑilemistæ	ohjɑilemistɑ
postinjɑkoɑlueittAin	postinjɑkoɑlueittæin	postinjɑkoɑlueittɑin
syøpæyhdistUsten	syøpæyhdistusten	syøpæyhdistysten
tukkuriltA	tukkuriltæ	tukkuriltɑ
tærvelemAstA	tærvelemɑstɑ	tærvelemæstæ
vɑstɑɑnottɑessAni	vɑstɑɑnottɑessæni	vɑstɑɑnottɑessɑni
