uf	pred	sf
bɑlonH	bɑloni	bɑlonu
ojunʤɑklArHn	ojunʤɑklerin	ojunʤɑklɑrɯn
ojunʤɑklArH	ojunʤɑkleri	ojunʤɑklɑrɯ
kuʃlArH	kuʃleri	kuʃlɑrɯ
ʃɑpkɑH	ʃɑpkɑi	ʃɑpkɑɯ
kɑnɑtlAr	kɑnɑtler	kɑnɑtlɑr
ɑɰɑʧlAr	ɑɰɑʧler	ɑɰɑʧlɑr
jɑzAlHm	jɑzelim	jɑzɑlɯm
ɑslɑnHn	ɑslɑnin	ɑslɑnɯn
gørHnʤA	gørinʤe	gørynʤe
ɑlmA	ɑlme	ɑlmɑ
tɑbɑnʤɑHn	tɑbɑnʤɑin	tɑbɑnʤɑɯn
bɯrɑkAlHm	bɯrɑkelim	bɯrɑkɑlɯm
konuʃAlHm	konuʃelim	konuʃɑlɯm
vɑpurA	vɑpure	vɑpurɑ
kɑrgɑHn	kɑrgɑin	kɑrgɑɯn
bɑsmA	bɑsme	bɑsmɑ
ɑɰlɑmA	ɑɰlɑme	ɑɰlɑmɑ
bostɑnA	bostɑne	bostɑnɑ
jɑɰHnʤA	jɑɰinʤe	jɑɰɯnʤɑ
pɑntolonH	pɑntoloni	pɑntolonu
hɑvlAr	hɑvler	hɑvlɑr
ʃøførH	ʃøføri	ʃøføry
ɑrkɑDA	ɑrkɑde	ɑrkɑdɑ
ɑmʤɑlAr	ɑmʤɑler	ɑmʤɑlɑr
ɑblɑH	ɑblɑi	ɑblɑɯ
kovbojA	kovboje	kovbojɑ
hɑjvɑnlAr	hɑjvɑnler	hɑjvɑnlɑr
sɑlɯnʤɑklArA	sɑlɯnʤɑklere	sɑlɯnʤɑklɑrɑ
sɑlɯnʤɑklAr	sɑlɯnʤɑkler	sɑlɯnʤɑklɑr
orɑDAn	orɑden	orɑdɑn
ojunʤɑklArmH	ojunʤɑklermi	ojunʤɑklɑrmɯ
kɑmjonH	kɑmjoni	kɑmjonu
kɯzA	kɯze	kɯzɑ
televizjonDA	televizjonde	televizjondɑ
burɑDAki	burɑdeki	burɑdɑki
ɑdɑmlAr	ɑdɑmler	ɑdɑmlɑr
ɑrkɑnDA	ɑrkɑnde	ɑrkɑndɑ
mɑjmunA	mɑjmune	mɑjmunɑ
kɑldɯrHp	kɑldɯrup	kɑldɯrɯp
hɑvɑDA	hɑvɑde	hɑvɑdɑ
bɑvullAr	bɑvuller	bɑvullɑr
kɑrʃɯDA	kɑrʃɯde	kɑrʃɯdɑ
vɑpurlAr	vɑpurler	vɑpurlɑr
kɑrgɑH	kɑrgɑi	kɑrgɑɯ
ɑjHHn	ɑjiin	ɑjɯɯn
ɑkʃɑmlAr	ɑkʃɑmler	ɑkʃɑmlɑr
sɑʧmA	sɑʧme	sɑʧmɑ
ojnɑmAn	ojnɑmen	ojnɑmɑn
kɑlkmA	kɑlkme	kɑlkmɑ
sɑjfɑDA	sɑjfɑde	sɑjfɑdɑ
kɑfɑnH	kɑfɑni	kɑfɑnɯ
bejɑzH	bejɑzi	bejɑzɯ
sɑnADA	sɑnede	sɑnɑdɑ
olH	oli	olu
gɑrɑʒDA	gɑrɑʒde	gɑrɑʒdɑ
ʤejlɑnlArHn	ʤejlɑnlerin	ʤejlɑnlɑrɯn
sɑʧlAr	sɑʧler	sɑʧlɑr
øpHnʤA	øpinʤe	øpynʤe
okulDAn	okulden	okuldɑn
kolH	koli	kolu
mɑndɑlinɑlArH	mɑndɑlinɑleri	mɑndɑlinɑlɑrɯ
