uf	pred	sf
ɑʃkH	ɑʃki	ɑʃkɯ
vɑpurHn	vɑpurɯn	vɑpurun
dyʃmA	dyʃmɑ	dyʃme
otobysHn	otobysun	otobysyn
ɑslɑnHn	ɑslɑnin	ɑslɑnɯn
gørHnʤA	gørɯnʤɑ	gørynʤe
bebeklArH	bebeklɑrɯ	bebekleri
sɑɑtHn	sɑɑtɯn	sɑɑtin
kuvvetlH	kuvvetlɯ	kuvvetli
misketlArH	misketlɑrɯ	misketleri
syrmA	syrmɑ	syrme
søjleAlHm	søjleɑlɯm	søjleelim
jemekDA	jemektɑ	jemekte
jemeklArH	jemeklɑrɯ	jemekleri
silmA	silmɑ	silme
elmA	elmɑ	elme
ɑletlArH	ɑletlɑrɯ	ɑletleri
trɑktørH	trɑktørɯ	trɑktøry
sɯnɯfDA	sɯnɯfdɑ	sɯnɯftɑ
ɑdɑmlAr	ɑdɑmler	ɑdɑmlɑr
renklArH	renklɑrɯ	renkleri
okulH	okulɯ	okulu
bɑvullAr	bɑvuller	bɑvullɑr
resimDA	resimdɑ	resimde
vɑpurlAr	vɑpurler	vɑpurlɑr
ɑkʃɑmlAr	ɑkʃɑmler	ɑkʃɑmlɑr
silAlHm	silɑlɯm	silelim
kɑdɑrDA	kɑdɑrde	kɑdɑrdɑ
jɑzmA	jɑzme	jɑzmɑ
pislHklArH	pislɯklɑrɯ	pislikleri
nerenDA	nerendɑ	nerende
gøzlArHn	gøzlɑrɯn	gøzlerin
dɑnDAn	dɑnden	dɑndɑn
kolH	koli	kolu
sytsHz	sytsiz	sytsyz
kyrkH	kyrki	kyrky
gørAlHm	gørɑlɯm	gørelim
iʃɑretlArH	iʃɑretlɑrɯ	iʃɑretleri
rɑdjoH	rɑdjoi	rɑdjou
sokɑklArDAn	sokɑklerden	sokɑklɑrdɑn
ʧɑtɑllAr	ʧɑtɑller	ʧɑtɑllɑr
ɑbilAr	ɑbilɑr	ɑbiler
ʧeʃitlH	ʧeʃitlɯ	ʧeʃitli
iʃlArH	iʃlɑrɯ	iʃleri
gøtyrAlHm	gøtyrɑlɯm	gøtyrelim
jemeklHk	jemeklɯk	jemeklik
gørmA	gørmɑ	gørme
isimlArH	isimlɑrɯ	isimleri
ɑrkɑdɑʃnHz	ɑrkɑdɑʃniz	ɑrkɑdɑʃnɯz
elmDAkinH	elmdɑkini	elmdekini
gøzlArH	gøzlɑrɯ	gøzleri
kitɑpDAn	kitɑpden	kitɑptɑn
pɑketDA	pɑkettɑ	pɑkette
evnHzDA	evnizdɑ	evnizde
duvɑrDA	duvɑrde	duvɑrdɑ
ɑletlArHn	ɑletlɑrɯn	ɑletlerin
ojunʤɑkʧHDAn	ojunʤɑkʧiden	ojunʤɑkʧɯdɑn
ojunʤɑkʧH	ojunʤɑkʧi	ojunʤɑkʧɯ
dɑdɯsHz	dɑdɯsiz	dɑdɯsɯz
kɑlemlArHn	kɑlemlɑrɯn	kɑlemlerin
ojunʤɑklArDAn	ojunʤɑklerden	ojunʤɑklɑrdɑn
kɑʧnʤH	kɑʧnʤi	kɑʧnʤɯ
geʧAn	geʧɑn	geʧen
gørmAAlH	gørmɑɑlɯ	gørmeeli
syrHp	syrɯp	syryp
bezH	bezɯ	bezi
gøzlArmH	gøzlɑrmɯ	gøzlermi
sizDA	sizdɑ	sizde
gøtyrHnʤA	gøtyrɯnʤɑ	gøtyrynʤe
otobysA	otobysɑ	otobyse
mumlAr	mumler	mumlɑr
ystynDAki	ystyndɑki	ystyndeki
ortɑlArDA	ortɑlɑrde	ortɑlɑrdɑ
ʧiʧeklAr	ʧiʧeklɑr	ʧiʧekler
kulypDA	kulypdɑ	kulypte
sønDHkDAn	søndiktɑn	søndykten
jerlArmH	jerlɑrmɯ	jerlermi
bɑjlArDA	bɑjlerde	bɑjlɑrdɑ
vɑpurDA	vɑpurde	vɑpurdɑ
jyzgeʧlArH	jyzgeʧlɑrɯ	jyzgeʧleri
gemilAr	gemilɑr	gemiler
jyzgeʧlArHn	jyzgeʧlɑrɯn	jyzgeʧlerin
sineklAr	sineklɑr	sinekler
kedilArA	kedilɑrɑ	kedilere
korkHp	korkɯp	korkup
binmA	binmɑ	binme
dɑvulHn	dɑvulin	dɑvulun
bɑʃmHzA	bɑʃmize	bɑʃmɯzɑ
evnHzH	evnɯzɯ	evnizi
kɑrdeʃlArHn	kɑrdeʃlɑrɯn	kɑrdeʃlerin
fɑrelArHn	fɑrelɑrɯn	fɑrelerin
diʃlArH	diʃlɑrɯ	diʃleri
pisilAr	pisilɑr	pisiler
elektriklAr	elektriklɑr	elektrikler
biskyvilAr	biskyvilɑr	biskyviler
hɑjvɑnsHz	hɑjvɑnsiz	hɑjvɑnsɯz
binHp	binyp	binip
døvAn	døvɑn	døven
verAʤAklAr	vereʤeklɑr	vereʤekler
televizjonnHz	televizjonniz	televizjonnuz
benmH	benmɯ	benmi
tuzlH	tuzlɯ	tuzlu
ɑmʤɑnHzA	ɑmʤɑnize	ɑmʤɑnɯzɑ
ʃejlArH	ʃejlɑrɯ	ʃejleri
kliplAr	kliplɑr	klipler
gøzlAr	gøzlɑr	gøzler
sevDHklArH	sevdiklɑrɯ	sevdikleri
tɑrɑfDA	tɑrɑfdɑ	tɑrɑftɑ
myzikDA	myziktɑ	myzikte
ystynDAkilAr	ystyndɑkilɑr	ystyndekiler
topmH	topmɯ	topmu
burɑDAkilAr	burɑdɑkilɑr	burɑdɑkiler
tɑrɑfDAn	tɑrɑften	tɑrɑftɑn
øtAnlArDAn	øtenlɑrden	øtenlerden
geʧmADHkʧA	geʧmɑtɯkʧe	geʧmedikʧe
jɑtmAn	jɑtmen	jɑtmɑn
bɑʃDAn	bɑʃten	bɑʃtɑn
bozmA	bozme	bozmɑ
syslH	syslɯ	sysly
gøtyrmA	gøtyrmɑ	gøtyrme
tykyrmA	tykyrmɑ	tykyrme
kovbojlAr	kovbojler	kovbojlɑr
ellArHn	ellɑrɯn	ellerin
sɑbɑhHn	sɑbɑhin	sɑbɑhɯn
zilA	zilɑ	zile
jyzHn	jyzin	jyzyn
ruʒmH	ruʒmɯ	ruʒmu
merʤimeklH	merʤimeklɯ	merʤimekli
gezmAADA	gezmɑɑdɑ	gezmeede
jɑnmDAn	jɑnmden	jɑnmdɑn
hemDA	hemdɑ	hemde
bebekDA	bebektɑ	bebekte
ɑʤɯAn	ɑʤɯen	ɑʤɯɑn
kolHn	kolin	kolun
døkAlHm	døkɑlɯm	døkelim
øpAlHm	øpɑlɯm	øpelim
