uf	pred	sf
jemekDA	jemekde	jemekte
hɑlHn	hɑlɯn	hɑlin
burɑDAki	burɑdeki	burɑdɑki
jeDHkDAn	jedikden	jedikten
ɑjdɯnlɯkDA	ɑjdɯnlɯkdɑ	ɑjdɯnlɯktɑ
kitɑpDAn	kitɑpdɑn	kitɑptɑn
pɑketDA	pɑketde	pɑkette
mutDA	mutdɑ	muttɑ
uzɑkDA	uzɑkdɑ	uzɑktɑ
soɰukDA	soɰukdɑ	soɰuktɑ
gitDHkDAn	gitdikden	gittikten
ɑrkɑDAki	ɑrkɑdeki	ɑrkɑdɑki
kulypDA	kulypde	kulypte
sønDHkDAn	søndykden	søndykten
koltukDAn	koltukdɑn	koltuktɑn
ɑɰɑʧDA	ɑɰɑʧdɑ	ɑɰɑʧtɑ
sɑɑtmH	sɑɑtmɯ	sɑɑtmi
verHʃDA	veriʃde	veriʃte
okulDAki	okuldeki	okuldɑki
tɑrɑfDA	tɑrɑfdɑ	tɑrɑftɑ
burɑDAkilAr	burɑdekiler	burɑdɑkiler
kreʃDAn	kreʃden	kreʃten
bɑʃDAn	bɑʃdɑn	bɑʃtɑn
koʃmADAn	koʃmɑdɑn	koʃmɑtɑn
jɑnɑkDAn	jɑnɑkdɑn	jɑnɑktɑn
bebekDA	bebekde	bebekte
