uf	pred	sf
konuDA	konutɑ	konudɑ
ɑʃɑɰɯDAki	ɑʃɑɰɯtɑki	ɑʃɑɰɯdɑki
sɑjɯDA	sɑjɯtɑ	sɑjɯdɑ
dikkɑtA	dikkɑtɑ	dikkɑte
bɑʃDA	bɑʃdɑ	bɑʃtɑ
jukɑrɯDAki	jukɑrɯtɑki	jukɑrɯdɑki
hɑllArDA	hɑllɑrdɑ	hɑllerde
tɑrɑfDAn	tɑrɑfdɑn	tɑrɑftɑn
tɑrihDA	tɑrihde	tɑrihte
rolH	rolu	roly
dynjɑDAki	dynjɑdeki	dynjɑdɑki
olmADAn	olmɑdɑn	olmɑtɑn
ɑjɑkDA	ɑjɑkdɑ	ɑjɑktɑ
sonuʧDA	sonuʧdɑ	sonuʧtɑ
hɑlH	hɑlɯ	hɑli
geleʤekDA	geleʤekde	geleʤekte
sɑɑtH	sɑɑtɯ	sɑɑti
konuDAki	konutɑki	konudɑki
etmADA	etmede	etmete
dikkɑtlH	dikkɑtlɯ	dikkɑtli
sɑɑtlArH	sɑɑtlɑrɯ	sɑɑtleri
usulH	usulu	usuly
jønetmelikDA	jønetmelikde	jønetmelikte
nitelikDA	nitelikde	nitelikte
bɑʃlɑngɯʧDA	bɑʃlɑngɯʧdɑ	bɑʃlɑngɯʧtɑ
ileriDA	ilerite	ileride
sɑɑtDA	sɑɑtdɑ	sɑɑtte
tɑrɑfDA	tɑrɑfdɑ	tɑrɑftɑ
dɯʃɑrɯDAn	dɯʃɑrɯtɑn	dɯʃɑrɯdɑn
grupDA	grupdɑ	gruptɑ
geliʃmADA	geliʃmede	geliʃmete
hɑjɑtDA	hɑjɑtdɑ	hɑjɑttɑ
yʧDA	yʧde	yʧte
sɑɑtlHk	sɑɑtlɯk	sɑɑtlik
geriDA	gerite	geride
jɑpmADA	jɑpmɑdɑ	jɑpmɑtɑ
dikkɑtH	dikkɑtɯ	dikkɑti
bɑʃDAn	bɑʃdɑn	bɑʃtɑn
syreʧDA	syreʧde	syreʧte
bulunmADA	bulunmɑdɑ	bulunmɑtɑ
kitɑpDA	kitɑpdɑ	kitɑptɑ
kɑbulH	kɑbulu	kɑbuly
dersDA	dersde	derste
sɯnɯfDA	sɯnɯfdɑ	sɯnɯftɑ
topDAn	topdɑn	toptɑn
kontrollH	kontrollu	kontrolly
olAbilmA	olebilme	olɑbilme
ɑltDA	ɑltdɑ	ɑlttɑ
jɑʃDA	jɑʃdɑ	jɑʃtɑ
renkDA	renkde	renkte
ɑlmADA	ɑlmɑdɑ	ɑlmɑtɑ
dɯʃɑrɯDA	dɯʃɑrɯtɑ	dɯʃɑrɯdɑ
olDHkDAn	oldukdɑn	olduktɑn
fɑɑlijetDA	fɑɑlijetde	fɑɑlijette
bojutDA	bojutdɑ	bojuttɑ
protokolH	protokolu	protokoly
suretDA	suretde	surette
geleʤekDAki	geleʤekdeki	geleʤekteki
olAbilmAH	olebilmei	olɑbilmei
ihtimɑlH	ihtimɑlɯ	ihtimɑli
sɑnɑtDA	sɑnɑtdɑ	sɑnɑttɑ
jɑpAbilmA	jɑpebilme	jɑpɑbilme
vermADA	vermede	vermete
ɑlDHkDAn	ɑldɯkdɑn	ɑldɯktɑn
internetDA	internetde	internette
uzɑkDA	uzɑkdɑ	uzɑktɑ
normɑlDA	normɑldɑ	normɑlde
ʧokDAn	ʧokdɑn	ʧoktɑn
dersDAn	dersden	dersten
uzɑklɯkDA	uzɑklɯkdɑ	uzɑklɯktɑ
sɑvɑʃDA	sɑvɑʃdɑ	sɑvɑʃtɑ
ekonomiDA	ekonomite	ekonomide
menyDA	menyte	menyde
geʧDHkʧA	geʧdikʧe	geʧtikʧe
jɑpDHkDAn	jɑpdɯkdɑn	jɑptɯktɑn
sɑɑtlAr	sɑɑtlɑr	sɑɑtler
sokɑkDA	sokɑkdɑ	sokɑktɑ
ʧɑlɯʃmADA	ʧɑlɯʃmɑdɑ	ʧɑlɯʃmɑtɑ
sɑɑtlArDA	sɑɑtlɑrdɑ	sɑɑtlerde
ɑlAbilmA	ɑlebilme	ɑlɑbilme
menyDAn	menyten	menyden
ɑlɯnDHkDAn	ɑlɯndɯkdɑn	ɑlɯndɯktɑn
ɑrtDHkʧA	ɑrtdɯkʧɑ	ɑrttɯkʧɑ
olmADA	olmɑdɑ	olmɑtɑ
ʧɑpDA	ʧɑpdɑ	ʧɑptɑ
yniversitelArɑrɑsɯ	yniversitelɑrɑrɑsɯ	yniversitelerɑrɑsɯ
hususDA	hususdɑ	husustɑ
geʧDHkDAn	geʧdikden	geʧtikten
olAbiljor	olebiljor	olɑbiljor
tipDA	tipde	tipte
iptɑlH	iptɑlɯ	iptɑli
kentDA	kentde	kentte
etmADAn	etmeden	etmeten
sɑjɯDAki	sɑjɯtɑki	sɑjɯdɑki
usullArH	usullɑrɯ	usulleri
jyryrlykDA	jyryrlykde	jyryrlykte
jyryrlykDAn	jyryrlykden	jyryrlykten
ʧɑlɯʃDHklArH	ʧɑlɯʃdɯklɑrɯ	ʧɑlɯʃtɯklɑrɯ
kɑtDA	kɑtdɑ	kɑttɑ
kontrollArH	kontrollɑrɯ	kontrolleri
vyʤutDA	vyʤutdɑ	vyʤuttɑ
bitDHkDAn	bitdikden	bittikten
etDHkDAn	etdikden	ettikten
byjyklHkDA	byjyklykde	byjyklykte
sɑɑtA	sɑɑtɑ	sɑɑte
hɑllAr	hɑllɑr	hɑller
ɑlkollH	ɑlkollu	ɑlkolly
jɑpmADAn	jɑpmɑdɑn	jɑpmɑtɑn
prɑtikDA	prɑtikde	prɑtikte
tesisDA	tesisde	tesiste
doɰuDA	doɰutɑ	doɰudɑ
hɑstɑlɯkDAn	hɑstɑlɯkdɑn	hɑstɑlɯktɑn
hɑjɑlH	hɑjɑlɯ	hɑjɑli
tɯpDA	tɯpdɑ	tɯptɑ
nitelikDAki	nitelikdeki	nitelikteki
hizmetDAn	hizmetden	hizmetten
hɑrfH	hɑrfɯ	hɑrfi
ekrɑnDAki	ekrɑndeki	ekrɑndɑki
sɑɑtDAn	sɑɑtdɑn	sɑɑtten
ystDA	ystde	ystte
tɑmɑmlADHkDAn	tɑmɑmlɑdɯkdɑn	tɑmɑmlɑdɯktɑn
tɑrɑfDAki	tɑrɑfdɑki	tɑrɑftɑki
jyryrlykDAki	jyryrlykdeki	jyryrlykteki
ørnekDA	ørnekde	ørnekte
devletDAn	devletden	devletten
ɑnDAki	ɑndeki	ɑndɑki
festivɑlH	festivɑlɯ	festivɑli
hɑlkDAn	hɑlkdɑn	hɑlktɑn
internetDAn	internetden	internetten
syrɑtlH	syrɑtlɯ	syrɑtli
sembolH	sembolu	semboly
sɑvɑʃDAn	sɑvɑʃdɑn	sɑvɑʃtɑn
yjelHkDAn	yjelikden	yjelikten
etɑpDA	etɑpdɑ	etɑptɑ
ølʧekDA	ølʧekde	ølʧekte
jɑnDAki	jɑndeki	jɑndɑki
sɑnɑjiDA	sɑnɑjite	sɑnɑjide
hizmetDA	hizmetde	hizmette
konferɑnsDA	konferɑnsdɑ	konferɑnstɑ
geʧmiʃDAn	geʧmiʃden	geʧmiʃten
kulɑkDA	kulɑkdɑ	kulɑktɑ
