uf	pred	sf
olmA	olme	olmɑ
gynH	gyni	gyny
ɑdH	ɑdi	ɑdɯ
ɑrɑʃtɯrmA	ɑrɑʃtɯrme	ɑrɑʃtɯrmɑ
oHn	oin	oun
durumDA	durumde	durumdɑ
konuDA	konude	konudɑ
jɑpAn	jɑpen	jɑpɑn
mejdɑnA	mejdɑne	mejdɑnɑ
jolH	joli	jolu
hɯzlH	hɯzli	hɯzlɯ
ɑʃɑɰɯDAki	ɑʃɑɰɯdeki	ɑʃɑɰɯdɑki
ɑlmA	ɑlme	ɑlmɑ
oluʃAn	oluʃen	oluʃɑn
progrɑmH	progrɑmi	progrɑmɯ
bɑʃɑrɯlH	bɑʃɑrɯli	bɑʃɑrɯlɯ
kɑlAn	kɑlen	kɑlɑn
ʧɑlɯʃmAlAr	ʧɑlɯʃmeler	ʧɑlɯʃmɑlɑr
hɑklArH	hɑkleri	hɑklɑrɯ
ɑlɑnDA	ɑlɑnde	ɑlɑndɑ
dynjɑHn	dynjɑin	dynjɑɯn
ɑrɑDA	ɑrɑde	ɑrɑdɑ
jɯllArDA	jɯllerde	jɯllɑrdɑ
kullɑnɯmH	kullɑnɯmi	kullɑnɯmɯ
sɑɰlɑmA	sɑɰlɑme	sɑɰlɑmɑ
ɑlɑnH	ɑlɑni	ɑlɑnɯ
ɑdlH	ɑdli	ɑdlɯ
kullɑnArAk	kullɑnerek	kullɑnɑrɑk
sɑɰlɯklH	sɑɰlɯkli	sɑɰlɯklɯ
jɑnDAn	jɑnden	jɑndɑn
korumA	korume	korumɑ
ɑlɯnmAH	ɑlɯnmei	ɑlɯnmɑɯ
insɑnlArHn	insɑnlerin	insɑnlɑrɯn
orɑnH	orɑni	orɑnɯ
ɑlmA	ɑlme	ɑlmɑ
durumlArDA	durumlerde	durumlɑrdɑ
jukɑrɯDA	jukɑrɯde	jukɑrɯdɑ
kurumH	kurumi	kurumu
olmA	olme	olmɑ
sonA	sone	sonɑ
jɑdA	jɑde	jɑdɑ
rɑporH	rɑpori	rɑporu
ortɑDAn	ortɑden	ortɑdɑn
ɑlɯnArAk	ɑlɯnerek	ɑlɯnɑrɑk
sorumlH	sorumli	sorumlu
sorunH	soruni	sorunu
ujgulɑmɑlArH	ujgulɑmɑleri	ujgulɑmɑlɑrɯ
kimjɑsAl	kimjɑsel	kimjɑsɑl
ɑlArAk	ɑlerek	ɑlɑrɑk
olDHklArH	oldikleri	olduklɑrɯ
konulArDA	konulerde	konulɑrdɑ
kɑnunHn	kɑnunin	kɑnunun
dɑlH	dɑli	dɑlɯ
kɑjnɑklArH	kɑjnɑkleri	kɑjnɑklɑrɯ
sonuʧlArH	sonuʧleri	sonuʧlɑrɯ
ʧɑlɯʃmAH	ʧɑlɯʃmei	ʧɑlɯʃmɑɯ
bɑʃDA	bɑʃte	bɑʃtɑ
kɑrtH	kɑrti	kɑrtɯ
sonH	soni	sonu
toplumHn	toplumin	toplumun
insɑnHn	insɑnin	insɑnɯn
ɑlɑnlArH	ɑlɑnleri	ɑlɑnlɑrɯ
ɑnlɑmDA	ɑnlɑmde	ɑnlɑmdɑ
orɑDA	orɑde	orɑdɑ
hɑzɯrlAnAn	hɑzɯrlenen	hɑzɯrlɑnɑn
odɑH	odɑi	odɑɯ
progrɑmlArH	progrɑmleri	progrɑmlɑrɯ
kɑnunH	kɑnuni	kɑnunu
ʧoʤuklArHn	ʧoʤuklerin	ʧoʤuklɑrɯn
sɑvunmA	sɑvunme	sɑvunmɑ
miktɑrH	miktɑri	miktɑrɯ
ɑrtHʃ	ɑrtiʃ	ɑrtɯʃ
