uf	pred	sf
hɑlA	hɑlɑ	hɑle
ɑʃɑɰɯDAki	ɑʃɑɰɯtɑki	ɑʃɑɰɯdɑki
ɑʃɑɰɯDA	ɑʃɑɰɯtɑ	ɑʃɑɰɯdɑ
jukɑrɯDA	jukɑrɯtɑ	jukɑrɯdɑ
bølgeDA	bølgete	bølgede
syreDA	syrete	syrede
ylkeDA	ylkete	ylkede
ɑʧɯDAn	ɑʧɯtɑn	ɑʧɯdɑn
jukɑrɯDAki	jukɑrɯtɑki	jukɑrɯdɑki
hɑllArDA	hɑllɑrdɑ	hɑllerde
kontrolH	kontrolu	kontroly
kɑtkɯDA	kɑtkɯtɑ	kɑtkɯdɑ
toplɑntɯDA	toplɑntɯtɑ	toplɑntɯdɑ
nereDA	nerete	nerede
rolH	rolu	roly
dynjɑDAki	dynjɑdeki	dynjɑdɑki
olmADAn	olmɑdɑn	olmɑtɑn
mɑddeDA	mɑddete	mɑddede
burɑDAki	burɑdeki	burɑdɑki
sɑjeDA	sɑjete	sɑjede
hɑlH	hɑlɯ	hɑli
sɑɑtH	sɑɑtɯ	sɑɑti
konuDAki	konutɑki	konudɑki
ɑlDHklArH	ɑltɯklɑrɯ	ɑldɯklɑrɯ
dikkɑtlH	dikkɑtlɯ	dikkɑtli
geliʃmAH	geliʃmɑɯ	geliʃmei
sɑɑtlArH	sɑɑtlɑrɯ	sɑɑtleri
isteDHklArH	istetikleri	istedikleri
tɑrɑfH	tɑrɑfi	tɑrɑfɯ
bølgeDAki	bølgeteki	bølgedeki
bilgilArHHn	bilgilɑrɯɯn	bilgileriin
mesɑʒH	mesɑʒi	mesɑʒɯ
nereDAn	nereten	nereden
bulunDHklArH	bulundykleri	bulunduklɑrɯ
ileriDA	ilerite	ileride
sɑɑtDA	sɑɑttɑ	sɑɑtte
kiʃiDAn	kiʃiten	kiʃiden
dɯʃɑrɯDAn	dɯʃɑrɯtɑn	dɯʃɑrɯdɑn
sevijeDA	sevijete	sevijede
girmAH	girmɑɯ	girmei
fɑrklHlHk	fɑrklilik	fɑrklɯlɯk
sɑɑtlHk	sɑɑtlɯk	sɑɑtlik
geriDA	gerite	geride
ɑlɑnDAki	ɑlɑndeki	ɑlɑndɑki
øɰrenʤilArHHn	øɰrenʤilɑrɯɯn	øɰrenʤileriin
jɑpɯDA	jɑpɯtɑ	jɑpɯdɑ
jɑpmADA	jɑpmɑdɑ	jɑpmɑtɑ
suDA	sutɑ	sudɑ
fɑrklHlHklAr	fɑrklilikler	fɑrklɯlɯklɑr
dikkɑtH	dikkɑtɯ	dikkɑti
øzellHklArHHn	øzelliklɑrɯɯn	øzellikleriin
bɑʃvuruDA	bɑʃvurutɑ	bɑʃvurudɑ
vermADAn	vermeten	vermeden
sɑhiplArHHn	sɑhiplɑrɯɯn	sɑhipleriin
tɑbloDA	tɑblotɑ	tɑblodɑ
kɑliteDA	kɑlitete	kɑlitede
bulunmADA	bulunmɑdɑ	bulunmɑtɑ
yjeDAn	yjeten	yjeden
hɑstɑneDA	hɑstɑnete	hɑstɑnede
listeDA	listete	listede
jɑzɯDA	jɑzɯtɑ	jɑzɯdɑ
proʒeDA	proʒete	proʒede
deɰerlendirmAH	deɰerlendirmɑɯ	deɰerlendirmei
doɰrultuDA	doɰrultutɑ	doɰrultudɑ
etmADAn	etmeten	etmeden
fotoɰrɑfH	fotoɰrɑfi	fotoɰrɑfɯ
vɑdeDA	vɑdete	vɑdede
yniversiteDA	yniversitete	yniversitede
gɑzeteDA	gɑzetete	gɑzetede
siteDA	sitete	sitede
kontrollH	kontrollu	kontrolly
tɑrɑfHn	tɑrɑfin	tɑrɑfɯn
ylkeDAn	ylketen	ylkeden
ɑlmADA	ɑlmɑdɑ	ɑlmɑtɑ
penʤereDA	penʤerete	penʤerede
kendilArHHn	kendilɑrɯɯn	kendileriin
dɯʃɑrɯDA	dɯʃɑrɯtɑ	dɯʃɑrɯdɑ
ɑvɑntɑʒH	ɑvɑntɑʒi	ɑvɑntɑʒɯ
deɰiʃmAH	deɰiʃmɑɯ	deɰiʃmei
fotoɰrɑfHn	fotoɰrɑfin	fotoɰrɑfɯn
ylkeDAki	ylketeki	ylkedeki
tesislArHHn	tesislɑrɯɯn	tesisleriin
penʤereDAn	penʤereten	penʤereden
protokolH	protokolu	protokoly
sɑnijeDA	sɑnijete	sɑnijede
olAbilmAH	olɑbilmɑɯ	olɑbilmei
ihtimɑlH	ihtimɑlɯ	ihtimɑli
jønetiʤilArHHn	jønetiʤilɑrɯɯn	jønetiʤileriin
seneDA	senete	senede
geʧmADAn	geʧmeten	geʧmeden
øɰleDAn	øɰleten	øɰleden
ɑlDHkDAn	ɑltɯktɑn	ɑldɯktɑn
kullɑnDHklArH	kullɑntɯklɑrɯ	kullɑndɯklɑrɯ
normɑlDA	normɑldɑ	normɑlde
ʧekilmAH	ʧekilmɑɯ	ʧekilmei
etkilArHHn	etkilɑrɯɯn	etkileriin
tedɑviDA	tedɑvite	tedɑvide
ekonomiDA	ekonomite	ekonomide
myʤɑdeleDA	myʤɑdelete	myʤɑdelede
jɑpAʤAklArH	jɑpeʤekleri	jɑpɑʤɑklɑrɯ
sɑɑtlAr	sɑɑtlɑr	sɑɑtler
ʧɑlɯʃmADA	ʧɑlɯʃmɑdɑ	ʧɑlɯʃmɑtɑ
sɑɑtlArDA	sɑɑtlɑrdɑ	sɑɑtlerde
jɑʃɑDHklArH	jɑʃɑtɯklɑrɯ	jɑʃɑdɯklɑrɯ
orɑDAki	orɑdeki	orɑdɑki
ɑlɯnDHkDAn	ɑlɯntɯktɑn	ɑlɯndɯktɑn
olmADHkʧA	olmɑtɯkʧɑ	olmɑdɯkʧɑ
geliʃmAHn	geliʃmɑɯn	geliʃmein
olmADA	olmɑdɑ	olmɑtɑ
listeDAn	listeten	listeden
ʧevreDA	ʧevrete	ʧevrede
myʃterilArHHn	myʃterilɑrɯɯn	myʃterileriin
suDAn	sutɑn	sudɑn
bilgilArnHzH	bilgilɑrnɯzɯ	bilgilernizi
iʃlAnmAH	iʃlɑnmɑɯ	iʃlenmei
bɑtɯDA	bɑtɯtɑ	bɑtɯdɑ
iptɑlH	iptɑlɯ	iptɑli
jøreDA	jørete	jørede
birimlArHHn	birimlɑrɯɯn	birimleriin
søzleʃmeDA	søzleʃmete	søzleʃmede
sɑjɯDAki	sɑjɯtɑki	sɑjɯdɑki
usullArH	usullɑrɯ	usulleri
teknoloʒilArHHn	teknoloʒilɑrɯɯn	teknoloʒileriin
dujDHklArH	dujdykleri	dujduklɑrɯ
iliʃkilArHHn	iliʃkilɑrɯɯn	iliʃkileriin
kesilmAH	kesilmɑɯ	kesilmei
ɑrɑziDA	ɑrɑzite	ɑrɑzide
kontrollArH	kontrollɑrɯ	kontrolleri
iʃlArHHn	iʃlɑrɯɯn	iʃleriin
bɑrɑʒH	bɑrɑʒi	bɑrɑʒɯ
temizlAnmAH	temizlɑnmɑɯ	temizlenmei
girmADAn	girmeten	girmeden
ʧɑpH	ʧɑpi	ʧɑpɯ
jɑzɯʤɯDAn	jɑzɯʤɯtɑn	jɑzɯʤɯdɑn
sɑɑtA	sɑɑtɑ	sɑɑte
geliʃmAH	geliʃmɑɯ	geliʃmei
gelmADAn	gelmeten	gelmeden
hɑllAr	hɑllɑr	hɑller
ɑlkollH	ɑlkollu	ɑlkolly
jenilAnmAH	jenilɑnmɑɯ	jenilenmei
kiʃiDA	kiʃite	kiʃide
jɑpmADAn	jɑpmɑdɑn	jɑpmɑtɑn
ɑrɑDAki	ɑrɑdeki	ɑrɑdɑki
montɑʒH	montɑʒi	montɑʒɯ
pijɑsɑDAki	pijɑsɑdeki	pijɑsɑdɑki
doɰuDA	doɰutɑ	doɰudɑ
gitmAH	gitmɑɯ	gitmei
mesɑfeDA	mesɑfete	mesɑfede
bølgeDAn	bølgeten	bølgeden
dergiDA	dergite	dergide
hɑjɑlH	hɑjɑlɯ	hɑjɑli
kɑpɯDAn	kɑpɯtɑn	kɑpɯdɑn
syreDAn	syreten	syreden
ilʧeDA	ilʧete	ilʧede
ekrɑnDAki	ekrɑndeki	ekrɑndɑki
getirmAH	getirmɑɯ	getirmei
mɑlzemeDAn	mɑlzemeten	mɑlzemeden
sɑɑtDAn	sɑɑttɑn	sɑɑtten
fɑrklHlHklArH	fɑrklilikleri	fɑrklɯlɯklɑrɯ
tɑmɑmlADHkDAn	tɑmɑmlɑtɯktɑn	tɑmɑmlɑdɯktɑn
tɑrɑfDAki	tɑrɑfteki	tɑrɑftɑki
ɑlɑnlArDAki	ɑlɑnlerdeki	ɑlɑnlɑrdɑki
ɑnDAki	ɑndeki	ɑndɑki
syrɑtlH	syrɑtlɯ	syrɑtli
sembolH	sembolu	semboly
deɰerlendirmADA	deɰerlendirmete	deɰerlendirmede
gørevlHlArHHn	gørevlilɑrɯɯn	gørevlileriin
netiʤeDA	netiʤete	netiʤede
birikAn	birikɑn	biriken
gelirlArHHn	gelirlɑrɯɯn	gelirleriin
girmAnHz	girmɑnɯz	girmeniz
mɑkɑleDA	mɑkɑlete	mɑkɑlede
sɑnɑtʧHlAr	sɑnɑtʧiler	sɑnɑtʧɯlɑr
etrɑfH	etrɑfi	etrɑfɯ
kɑlDHklArH	kɑltɯklɑrɯ	kɑldɯklɑrɯ
konulArDAki	konulɑrdeki	konulɑrdɑki
jɑnDAki	jɑndeki	jɑndɑki
muɑjeneDA	muɑjenete	muɑjenede
sɑnɑjiDA	sɑnɑjite	sɑnɑjide
geʤeDA	geʤete	geʤede
mɑsrɑfH	mɑsrɑfi	mɑsrɑfɯ
tekniklArHHn	tekniklɑrɯɯn	teknikleriin
kɑrɑrlHlHk	kɑrɑrlilik	kɑrɑrlɯlɯk
tɑmɑmlɑnDHkDAn	tɑmɑmlɑntɯktɑn	tɑmɑmlɑndɯktɑn
telgrɑfH	telgrɑfi	telgrɑfɯ
bilmAH	bilmɑɯ	bilmei
ɑltDAki	ɑltteki	ɑlttɑki
yniversiteDAn	yniversiteten	yniversiteden
usullAr	usullɑr	usuller
kɑtegoriDA	kɑtegorite	kɑtegoride
ʧoʤuklArmHzA	ʧoʤuklɑrmize	ʧoʤuklɑrmɯzɑ
normɑlA	normɑlɑ	normɑle
iʃgɑlH	iʃgɑlɯ	iʃgɑli
ʧevreDAki	ʧevreteki	ʧevredeki
ɑileDA	ɑilete	ɑilede
birliklArHHn	birliklɑrɯɯn	birlikleriin
fɑkylteDA	fɑkyltete	fɑkyltede
køʃeDA	køʃete	køʃede
kɑmpH	kɑmpi	kɑmpɯ
getirmAH	getirmɑɯ	getirmei
gitmADAn	gitmeten	gitmeden
dereʤeDAn	dereʤeten	dereʤeden
iʃletmeDA	iʃletmete	iʃletmede
kullɑnmADA	kullɑnmɑdɑ	kullɑnmɑtɑ
bɑʃlɑDHkDAn	bɑʃlɑtɯktɑn	bɑʃlɑdɯktɑn
sɑhneDA	sɑhnete	sɑhnede
hɑrflArH	hɑrflɑrɯ	hɑrfleri
kurDHklArH	kurdykleri	kurduklɑrɯ
kɑrlHlHk	kɑrlilik	kɑrlɯlɯk
jɑʃlHlAr	jɑʃliler	jɑʃlɯlɑr
mɑddeDAki	mɑddeteki	mɑddedeki
deDHklArH	detikleri	dedikleri
esnɑfH	esnɑfi	esnɑfɯ
ilerleDHkʧA	ilerletikʧe	ilerledikʧe
olmADHklArH	olmɑtɯklɑrɯ	olmɑdɯklɑrɯ
jukɑrɯDAn	jukɑrɯtɑn	jukɑrɯdɑn
bilmADAn	bilmeten	bilmeden
mɑterjɑllAr	mɑterjɑllɑr	mɑterjɑller
ɑrtmADA	ɑrtmɑdɑ	ɑrtmɑtɑ
iʧeriDA	iʧerite	iʧeride
kytyphɑneDA	kytyphɑnete	kytyphɑnede
mɑterjɑlH	mɑterjɑlɯ	mɑterjɑli
terminɑlH	terminɑlɯ	terminɑli
topʧH	topʧi	topʧu
ʧeʃitlArHHn	ʧeʃitlɑrɯɯn	ʧeʃitleriin
esnɑfHn	esnɑfin	esnɑfɯn
gøryʃmeDA	gøryʃmete	gøryʃmede
hɑrflAr	hɑrflɑr	hɑrfler
jɯllArDAki	jɯllɑrdeki	jɯllɑrdɑki
dyzenleDHklArH	dyzenletikleri	dyzenledikleri
mɑddeDAn	mɑddeten	mɑddeden
sɑɰlɑmADA	sɑɰlɑmɑdɑ	sɑɰlɑmɑtɑ
ʤepheDA	ʤephete	ʤephede
misɑlH	misɑlɯ	misɑli
stɑʒH	stɑʒi	stɑʒɯ
søjleDHklArH	søjletikleri	søjledikleri
jetkilHlArHHn	jetkililɑrɯɯn	jetkilileriin
bɑskɯDA	bɑskɯtɑ	bɑskɯdɑ
ekonomiDAki	ekonomiteki	ekonomideki
petrolHn	petrolun	petrolyn
jɑʃlHlHk	jɑʃlilik	jɑʃlɯlɯk
hɑlkmHzA	hɑlkmize	hɑlkmɯzɑ
kɑmuDA	kɑmutɑ	kɑmudɑ
kɑpɑsiteDA	kɑpɑsitete	kɑpɑsitede
uzɑkDAki	uzɑkteki	uzɑktɑki
bytʧeDAn	bytʧeten	bytʧeden
kɑjbetmADAn	kɑjbetmeten	kɑjbetmeden
tepeDAn	tepeten	tepeden
devreDA	devrete	devrede
ødemADAn	ødemeten	ødemeden
ɑʃɑɰɯDAkilArDAn	ɑʃɑɰɯtɑkilerden	ɑʃɑɰɯdɑkilerden
beklemADAn	beklemeten	beklemeden
inʤelemADA	inʤelemete	inʤelemede
jɑrH	jɑrɯ	jɑri
tɑbloDAn	tɑblotɑn	tɑblodɑn
jɑʃDAki	jɑʃteki	jɑʃtɑki
yretiʤilArHHn	yretiʤilɑrɯɯn	yretiʤileriin
devreDAn	devreten	devreden
ihlɑlH	ihlɑlɯ	ihlɑli
kɑpɯDA	kɑpɯtɑ	kɑpɯdɑ
soruDA	sorutɑ	sorudɑ
listeDAki	listeteki	listedeki
sinjɑlH	sinjɑlɯ	sinjɑli
usulA	usulɑ	usule
jɑpɯDAki	jɑpɯtɑki	jɑpɯdɑki
krediDAn	krediten	krediden
rollAr	rollɑr	roller
etkinlHklArHHn	etkinliklɑrɯɯn	etkinlikleriin
deɰerlendirmAH	deɰerlendirmɑɯ	deɰerlendirmei
pɑzɑrDAki	pɑzɑrdeki	pɑzɑrdɑki
sigortɑlHA	sigortɑluɑ	sigortɑlɯɑ
gørmADAn	gørmeten	gørmeden
kyresAllAʃmAHn	kyresɑllɑʃmɑɯn	kyreselleʃmein
kɑnDAki	kɑndeki	kɑndɑki
kontrollAr	kontrollɑr	kontroller
minerɑllArH	minerɑllɑrɯ	minerɑlleri
belirlemADA	belirlemete	belirlemede
gitmAH	gitmɑɯ	gitmei
minerɑllAr	minerɑllɑr	minerɑller
sergiDA	sergite	sergide
ɑileDAn	ɑileten	ɑileden
bɑhʧeDA	bɑhʧete	bɑhʧede
bɑtɯDAn	bɑtɯtɑn	bɑtɯdɑn
hɑllArH	hɑllɑrɯ	hɑlleri
iliʃkiDA	iliʃkite	iliʃkide
mɑterjɑlHn	mɑterjɑlɯn	mɑterjɑlin
tedɑviDAn	tedɑviten	tedɑviden
ʧɑrʃɯDA	ʧɑrʃɯtɑ	ʧɑrʃɯdɑ
sɑnɑtʧHlArH	sɑnɑtʧileri	sɑnɑtʧɯlɑrɯ
jɑjɯnlAnAʤAk	jɑjɯnlɑneʤek	jɑjɯnlɑnɑʤɑk
ʧɯkmADA	ʧɯkmɑdɑ	ʧɯkmɑtɑ
ʧevreDAn	ʧevreten	ʧevreden
olguDA	olgutɑ	olgudɑ
sevijeDAki	sevijeteki	sevijedeki
jɑrɯDAn	jɑrɯtɑn	jɑrɯdɑn
ortɑmDAki	ortɑmdeki	ortɑmdɑki
tiplArHHn	tiplɑrɯɯn	tipleriin
